response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
9.2948,0.0421,0.0000,0.0002,9.2521,0.0002,200,1.0007
10.2770,0.0425,0.0000,0.0001,10.2339,0.0001,200,1.0008
10.6057,0.0411,0.0000,0.0001,10.5640,0.0001,200,1.0008
9.3645,0.0453,0.0000,0.0001,9.3186,0.0002,200,1.0008
10.4048,0.0416,0.0000,0.0001,10.3626,0.0002,200,1.0007
11.1191,0.0416,0.0000,0.0001,11.0770,0.0002,200,1.0006
10.4236,0.0659,0.0000,0.0001,10.3572,0.0001,200,1.0009
9.6711,0.4793,0.0000,0.0002,9.1912,0.0002,200,1.0007
9.4687,0.0399,0.0000,0.0001,9.4283,0.0001,200,1.0006
11.3418,0.0418,0.0000,0.0001,11.2996,0.0001,200,1.0006
10.2418,0.0398,0.0000,0.0002,10.2013,0.0002,200,1.0007
11.9429,0.0462,0.0000,0.0001,11.8963,0.0002,200,1.0007
9.2683,0.0409,0.0000,0.0001,9.2268,0.0002,200,1.0007
10.5586,0.0421,0.0000,0.0001,10.5161,0.0001,200,1.0008
10.4410,0.0435,0.0000,0.0002,10.3969,0.0001,200,1.0008
10.4102,0.0536,0.0000,0.0002,10.3561,0.0002,200,1.0010
10.2289,0.1742,0.0000,0.0002,10.0542,0.0002,200,1.0007
10.5098,0.4175,0.0000,0.0001,10.0918,0.0001,200,1.0008
10.2726,0.0415,0.0000,0.0002,10.2306,0.0001,200,1.0008
11.9856,0.0409,0.0000,0.0001,11.9443,0.0001,200,1.0007
10.7561,0.1395,0.0000,0.0002,10.6159,0.0002,200,1.0009
9.7083,0.0398,0.0000,0.0001,9.6679,0.0002,200,1.0007
11.6486,0.0415,0.0000,0.0002,11.6064,0.0002,200,1.0009
8.1769,0.0393,0.0000,0.0001,8.1371,0.0001,200,1.0010
10.3728,0.0414,0.0000,0.0002,10.3309,0.0001,200,1.0010
14.1206,0.0434,0.0000,0.0003,14.0766,0.0002,200,1.0009
7.5137,0.0416,0.0000,0.0001,7.4717,0.0001,200,1.0009
13.4727,0.0418,0.0000,0.0002,13.4303,0.0002,200,1.0008
9.4601,0.3507,0.0000,0.0003,9.1089,0.0001,200,1.0009
9.5849,0.4704,0.0000,0.0002,9.1139,0.0001,200,1.0008
9.4551,0.0415,0.0000,0.0001,9.4131,0.0002,200,1.0007
10.4870,0.0431,0.0000,0.0002,10.4432,0.0002,200,1.0007
11.6833,0.0417,0.0000,0.0002,11.6410,0.0002,200,1.0009
9.2505,0.0424,0.0000,0.0003,9.2074,0.0002,200,1.0007
11.1542,0.0424,0.0000,0.0002,11.1111,0.0002,200,1.0008
9.7149,0.3163,0.0000,0.0002,9.3981,0.0001,200,1.0007
10.3068,0.0393,0.0000,0.0002,10.2670,0.0002,200,1.0007
7.7237,0.0410,0.0000,0.0003,7.6820,0.0002,200,1.0008
10.0787,0.0410,0.0000,0.0002,10.0371,0.0001,200,1.0006
5.3174,0.0439,0.0000,0.0002,5.2730,0.0001,200,1.0008
7.5408,0.0409,0.0000,0.0002,7.4994,0.0001,200,1.0006
10.5490,0.0730,0.0000,0.0002,10.4755,0.0001,200,1.0010
10.7933,0.0418,0.0000,0.0002,10.7509,0.0002,200,1.0009
10.3718,0.0410,0.0000,0.0002,10.3302,0.0002,200,1.0007
9.4855,0.0436,0.0000,0.0001,9.4413,0.0002,200,1.0009
8.0145,0.0685,0.0000,0.0001,7.9456,0.0001,200,1.0007
10.4831,0.0431,0.0000,0.0002,10.4394,0.0001,200,1.0010
10.3638,0.0422,0.0000,0.0001,10.3210,0.0002,200,1.0007
10.0561,0.0398,0.0000,0.0001,10.0158,0.0002,200,1.0007
11.3731,0.0414,0.0000,0.0002,11.3311,0.0001,200,1.0008
13.5802,0.0419,0.0000,0.0003,13.5376,0.0002,200,1.0007
9.2149,0.0411,0.0000,0.0002,9.1733,0.0002,200,1.0008
10.2113,0.1032,0.0000,0.0001,10.1076,0.0001,200,1.0007
11.2960,0.0387,0.0000,0.0001,11.2567,0.0002,200,1.0009
9.2183,0.0418,0.0000,0.0001,9.1761,0.0001,200,1.0009
10.3107,0.0393,0.0000,0.0002,10.2709,0.0001,200,1.0007
13.5540,0.0416,0.0000,0.0002,13.5119,0.0001,200,1.0007
9.2035,0.0448,0.0000,0.0002,9.1581,0.0001,200,1.0006
11.4846,0.0494,0.0000,0.0001,11.4348,0.0001,200,1.0006
13.3233,0.0419,0.0000,0.0001,13.2809,0.0001,200,1.0007
10.3843,0.0397,0.0000,0.0002,10.3441,0.0001,200,1.0008
10.3351,0.0410,0.0000,0.0001,10.2935,0.0002,200,1.0007
10.3340,0.0405,0.0000,0.0002,10.2928,0.0002,200,1.0007
10.3988,0.0464,0.0000,0.0001,10.3519,0.0002,200,1.0007
10.2451,0.0420,0.0000,0.0002,10.2026,0.0001,200,1.0008
10.2066,0.0519,0.0000,0.0002,10.1542,0.0001,200,1.0008
14.7509,0.0513,0.0000,0.0002,14.6990,0.0002,200,1.0008
7.9375,0.0996,0.0000,0.0003,7.8371,0.0002,200,1.0009
10.5531,0.0430,0.0000,0.0002,10.5096,0.0002,200,1.0006
9.2507,0.0393,0.0000,0.0002,9.2108,0.0001,200,1.0006
11.1739,0.0417,0.0000,0.0002,11.1316,0.0002,200,1.0007
10.0855,0.0468,0.0000,0.0002,10.0382,0.0001,200,1.0008
12.1719,0.0424,0.0000,0.0001,12.1289,0.0001,200,1.0011
10.1503,0.0569,0.0000,0.0002,10.0927,0.0002,200,1.0005
9.4457,0.0996,0.0000,0.0002,9.3454,0.0002,200,1.0010
10.2519,0.0421,0.0000,0.0002,10.2091,0.0002,200,1.0009
9.7389,0.4727,0.0000,0.0002,9.2657,0.0002,200,1.0007
10.7360,0.0449,0.0000,0.0002,10.6905,0.0001,200,1.0005
10.3408,0.0394,0.0000,0.0002,10.3009,0.0002,200,1.0007
11.8004,0.0401,0.0000,0.0001,11.7597,0.0002,200,1.0006
9.9191,0.0412,0.0000,0.0001,9.8773,0.0002,200,1.0009
7.9273,0.0442,0.0000,0.0002,7.8826,0.0002,200,1.0010
8.4788,0.0426,0.0000,0.0002,8.4357,0.0001,200,1.0010
11.9115,0.0408,0.0000,0.0002,11.8701,0.0001,200,1.0006
7.7658,0.1795,0.0000,0.0002,7.5857,0.0002,200,1.0006
10.5148,0.0418,0.0000,0.0001,10.4723,0.0002,200,1.0007
10.7362,0.0409,0.0000,0.0001,10.6947,0.0001,200,1.0006
9.4368,0.0413,0.0000,0.0001,9.3950,0.0002,200,1.0006
13.4473,0.0403,0.0000,0.0002,13.4065,0.0001,200,1.0006
6.4468,0.3011,0.0000,0.0002,6.1452,0.0002,200,1.0006
10.2986,0.0762,0.0000,0.0001,10.2219,0.0001,200,1.0006
13.3357,0.0427,0.0000,0.0002,13.2925,0.0001,200,1.0008
9.3379,0.0430,0.0000,0.0002,9.2941,0.0002,200,1.0006
10.3757,0.0400,0.0000,0.0002,10.3351,0.0002,200,1.0009
10.3916,0.0519,0.0000,0.0002,10.3391,0.0001,200,1.0007
