response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
11.8120,0.0396,0.0000,0.0003,11.7716,0.0001,200,1.0007
4.1096,0.0383,0.0000,0.0002,4.0706,0.0001,200,1.0007
4.9344,0.1542,0.0000,0.0003,4.7794,0.0001,200,1.0008
12.1719,0.0389,0.0000,0.0002,12.1322,0.0001,200,1.0006
5.2974,0.0457,0.0000,0.0001,5.2511,0.0002,200,1.0010
5.1614,0.2886,0.0000,0.0002,4.8722,0.0002,200,1.0006
7.8443,0.0387,0.0000,0.0002,7.8047,0.0002,200,1.0008
5.1743,0.0401,0.0000,0.0001,5.1335,0.0002,200,1.0006
6.1597,0.0621,0.0000,0.0002,6.0970,0.0002,200,1.0007
5.3072,0.0382,0.0000,0.0001,5.2683,0.0002,200,1.0008
5.8530,0.0394,0.0000,0.0002,5.8131,0.0001,200,1.0011
4.7179,0.0524,0.0000,0.0002,4.6649,0.0001,200,1.0008
7.6433,0.0388,0.0000,0.0002,7.6037,0.0002,200,1.0006
6.2256,0.0402,0.0000,0.0002,6.1847,0.0002,200,1.0006
5.0742,0.0420,0.0000,0.0002,5.0315,0.0001,200,1.0007
4.5146,0.0396,0.0000,0.0002,4.4741,0.0002,200,1.0010
5.5857,0.2181,0.0000,0.0002,5.3668,0.0001,200,1.0010
5.7519,0.0464,0.0000,0.0003,5.7049,0.0001,200,1.0011
6.5483,0.0967,0.0000,0.0002,6.4510,0.0001,200,1.0008
5.4264,0.3116,0.0000,0.0002,5.1140,0.0002,200,1.0006
5.0112,0.0403,0.0000,0.0002,4.9701,0.0001,200,1.0011
4.4739,0.0402,0.0000,0.0002,4.4332,0.0001,200,1.0006
6.2204,0.0384,0.0000,0.0002,6.1814,0.0002,200,1.0008
5.3806,0.0382,0.0000,0.0002,5.3418,0.0001,200,1.0008
7.3181,0.0386,0.0000,0.0001,7.2789,0.0002,200,1.0006
4.7571,0.0386,0.0000,0.0002,4.7177,0.0001,200,1.0008
5.1542,0.0796,0.0000,0.0002,5.0740,0.0001,200,1.0007
5.4020,0.0429,0.0000,0.0004,5.3584,0.0001,200,1.0009
5.2043,0.0954,0.0000,0.0002,5.1081,0.0002,200,1.0007
4.8434,0.0392,0.0000,0.0001,4.8038,0.0001,200,1.0007
4.5703,0.0386,0.0000,0.0001,4.5310,0.0002,200,1.0008
5.4852,0.0393,0.0000,0.0001,5.4452,0.0002,200,1.0008
4.5035,0.0422,0.0000,0.0001,4.4608,0.0001,200,1.0006
4.7446,0.0520,0.0000,0.0004,4.6918,0.0002,200,1.0007
5.6908,0.0473,0.0000,0.0002,5.6430,0.0001,200,1.0009
5.7955,0.2179,0.0000,0.0003,5.5768,0.0002,200,1.0009
4.4077,0.0852,0.0000,0.0002,4.3219,0.0002,200,1.0009
5.1336,0.3001,0.0000,0.0003,4.8329,0.0001,200,1.0009
5.5446,0.0523,0.0000,0.0002,5.4918,0.0001,200,1.0009
5.5376,0.2111,0.0000,0.0001,5.3259,0.0001,200,1.0011
5.0775,0.0436,0.0000,0.0001,5.0334,0.0001,200,1.0007
5.1883,0.0924,0.0000,0.0002,5.0953,0.0002,200,1.0008
5.9308,0.0471,0.0000,0.0001,5.8832,0.0002,200,1.0007
4.6843,0.1621,0.0000,0.0001,4.5215,0.0002,200,1.0008
6.1087,0.0517,0.0000,0.0002,6.0563,0.0001,200,1.0007
5.5652,0.0496,0.0000,0.0003,5.5148,0.0002,200,1.0010
4.9858,0.1009,0.0000,0.0001,4.8842,0.0002,200,1.0009
