response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3265,0.0511,0.0000,0.0001,0.2748,0.0002,200,1.0008
1.3469,0.5277,0.0000,0.0003,0.8185,0.0002,200,1.0008
0.9448,0.7080,0.0000,0.0001,0.2363,0.0001,200,1.0010
1.2414,0.5269,0.0000,0.0002,0.7139,0.0002,200,1.0007
1.5294,0.7161,0.0000,0.0002,0.8127,0.0002,200,1.0009
0.8290,0.2154,0.0000,0.0002,0.6130,0.0003,200,1.0007
0.6008,0.0414,0.0000,0.0001,0.5589,0.0002,200,1.0009
0.5294,0.0523,0.0000,0.0002,0.4763,0.0003,200,1.0008
0.2252,0.0390,0.0000,0.0001,0.1857,0.0002,200,1.0007
0.8321,0.4969,0.0000,0.0002,0.3345,0.0002,200,1.0005
0.6100,0.3440,0.0000,0.0001,0.2655,0.0001,200,1.0008
1.1854,0.1863,0.0000,0.0001,0.9986,0.0002,200,1.0006
1.0640,0.3106,0.0000,0.0002,0.7528,0.0002,200,1.0008
0.8025,0.4018,0.0000,0.0003,0.4001,0.0002,200,1.0007
0.4473,0.0669,0.0000,0.0002,0.3799,0.0001,200,1.0009
0.5043,0.2593,0.0000,0.0001,0.2445,0.0002,200,1.0010
0.3026,0.0420,0.0000,0.0002,0.2599,0.0002,200,1.0008
0.7684,0.0521,0.0000,0.0002,0.7157,0.0002,200,1.0008
0.5296,0.2275,0.0000,0.0001,0.3016,0.0001,200,1.0009
1.0576,0.8359,0.0000,0.0001,0.2212,0.0001,200,1.0008
0.7706,0.5371,0.0000,0.0002,0.2328,0.0002,200,1.0005
0.7219,0.2084,0.0000,0.0001,0.5130,0.0001,200,1.0008
0.9133,0.7302,0.0000,0.0002,0.1825,0.0002,200,1.0007
1.4496,1.0847,0.0000,0.0002,0.3643,0.0002,200,1.0007
0.5444,0.2561,0.0000,0.0002,0.2877,0.0001,200,1.0006
0.6170,0.2072,0.0000,0.0001,0.4093,0.0002,200,1.0007
0.4922,0.2868,0.0000,0.0001,0.2047,0.0002,200,1.0008
1.3461,0.7311,0.0000,0.0002,0.6144,0.0002,200,1.0007
0.8586,0.6342,0.0000,0.0002,0.2238,0.0002,200,1.0006
2.6890,1.9620,0.0000,0.0002,0.7264,0.0002,200,1.0007
0.9287,0.4260,0.0000,0.0002,0.5021,0.0001,200,1.0007
0.9368,0.3467,0.0000,0.0001,0.5895,0.0003,200,1.0009
1.8291,1.0323,0.0000,0.0002,0.7962,0.0001,200,1.0007
1.2554,0.3142,0.0000,0.0001,0.9406,0.0002,200,1.0009
1.0161,0.1874,0.0000,0.0002,0.8281,0.0002,200,1.0005
0.6284,0.2188,0.0000,0.0001,0.4090,0.0002,200,1.0006
1.1407,0.5520,0.0000,0.0001,0.5881,0.0002,200,1.0006
0.6223,0.3745,0.0000,0.0002,0.2473,0.0002,200,1.0007
2.1220,1.0460,0.0000,0.0001,1.0755,0.0001,200,1.0008
3.7993,2.5507,0.0000,0.0002,1.2479,0.0002,200,1.0009
0.4978,0.2545,0.0000,0.0002,0.2428,0.0002,200,1.0006
0.7333,0.3114,0.0000,0.0001,0.4215,0.0002,200,1.0007
0.9334,0.7311,0.0000,0.0002,0.2018,0.0001,200,1.0007
0.8460,0.2103,0.0000,0.0002,0.6352,0.0002,200,1.0007
1.6688,0.7457,0.0000,0.0002,0.9225,0.0002,200,1.0009
0.8391,0.3235,0.0000,0.0001,0.5150,0.0002,200,1.0007
0.5575,0.2834,0.0000,0.0001,0.2735,0.0002,200,1.0005
0.9915,0.2193,0.0000,0.0001,0.7717,0.0002,200,1.0010
0.2943,0.0663,0.0000,0.0002,0.2274,0.0002,200,1.0006
0.4246,0.1852,0.0000,0.0002,0.2388,0.0002,200,1.0007
0.4230,0.2151,0.0000,0.0002,0.2074,0.0001,200,1.0006
