response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.2095,0.0427,0.0000,0.0002,0.1663,0.0001,200,1.0009
0.6310,0.3288,0.0000,0.0002,0.3015,0.0003,200,1.0006
0.4072,0.2582,0.0000,0.0001,0.1485,0.0002,200,1.0009
0.3750,0.0944,0.0000,0.0002,0.2800,0.0001,200,1.0009
0.2201,0.0404,0.0000,0.0002,0.1791,0.0002,200,1.0008
0.4809,0.3135,0.0000,0.0002,0.1667,0.0002,200,1.0008
0.5288,0.3575,0.0000,0.0002,0.1707,0.0002,200,1.0009
0.5899,0.4440,0.0000,0.0002,0.1453,0.0001,200,1.0008
0.2654,0.0426,0.0000,0.0002,0.2222,0.0001,200,1.0008
0.2205,0.0457,0.0000,0.0002,0.1741,0.0002,200,1.0007
0.3513,0.0707,0.0000,0.0001,0.2801,0.0002,200,1.0009
0.1894,0.0430,0.0000,0.0001,0.1459,0.0002,200,1.0008
1.1290,0.8694,0.0000,0.0001,0.2591,0.0002,200,1.0007
0.8877,0.0471,0.0000,0.0003,0.8399,0.0002,200,1.0008
0.8976,0.0404,0.0000,0.0002,0.8565,0.0002,200,1.0009
0.2219,0.0431,0.0000,0.0001,0.1781,0.0003,200,1.0007
0.2886,0.0860,0.0000,0.0002,0.2019,0.0002,200,1.0007
0.2366,0.0419,0.0000,0.0002,0.1940,0.0002,200,1.0006
0.2915,0.1464,0.0000,0.0002,0.1445,0.0002,200,1.0009
0.2209,0.0405,0.0000,0.0002,0.1798,0.0002,200,1.0007
0.3307,0.0998,0.0000,0.0001,0.2305,0.0001,200,1.0007
0.2207,0.0385,0.0000,0.0001,0.1816,0.0003,200,1.0009
0.5482,0.3373,0.0000,0.0002,0.2103,0.0002,200,1.0009
0.2192,0.0391,0.0000,0.0002,0.1795,0.0002,200,1.0009
0.5161,0.0611,0.0000,0.0002,0.4544,0.0002,200,1.0006
0.2201,0.0413,0.0000,0.0001,0.1782,0.0002,200,1.0009
0.7211,0.2691,0.0000,0.0002,0.4513,0.0002,200,1.0007
0.1836,0.0401,0.0000,0.0002,0.1428,0.0001,200,1.0007
0.2096,0.0400,0.0000,0.0001,0.1689,0.0002,200,1.0010
