response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.2731,0.1068,0.0178,0.0008,0.1651,0.0004,200,0.1062
0.2843,0.1114,0.0218,0.0012,0.1716,0.0001,200,0.1021
0.2845,0.1122,0.0218,0.0006,0.1717,0.0000,200,0.1019
0.2808,0.1079,0.0183,0.0013,0.1715,0.0001,200,0.1057
0.2844,0.1114,0.0218,0.0007,0.1723,0.0000,200,0.1023
0.2843,0.1114,0.0219,0.0007,0.1721,0.0001,200,0.1024
0.2819,0.1094,0.0345,0.0006,0.1719,0.0000,200,0.1048
0.2841,0.1104,0.0215,0.0008,0.1728,0.0000,200,0.1027
0.2806,0.1070,0.0179,0.0010,0.1722,0.0003,200,0.1062
0.2852,0.1108,0.0206,0.0005,0.1738,0.0000,200,0.1033
0.3196,0.1142,0.0607,0.0002,0.2051,0.0001,200,0.1025
0.3193,0.1117,0.0367,0.0008,0.2067,0.0001,200,0.1028
0.3108,0.1035,0.0280,0.0006,0.2067,0.0001,200,0.1113
0.3158,0.1017,0.0278,0.0007,0.2133,0.0001,200,0.1113
0.3210,0.1073,0.0178,0.0012,0.2124,0.0001,200,0.1062
0.3214,0.1106,0.0576,0.0002,0.2105,0.0001,200,0.1059
0.3230,0.1070,0.0177,0.0007,0.2142,0.0011,200,0.1062
0.3256,0.1136,0.0597,0.0005,0.2108,0.0007,200,0.1040
0.3278,0.1112,0.0217,0.0010,0.2147,0.0007,200,0.1019
0.3281,0.1112,0.0217,0.0011,0.2149,0.0007,200,0.1021
0.3272,0.1103,0.0207,0.0014,0.2148,0.0007,200,0.1034
0.3193,0.1036,0.0280,0.0006,0.2144,0.0007,200,0.1113
0.3251,0.1075,0.0184,0.0010,0.2159,0.0007,200,0.1057
0.3281,0.1114,0.0359,0.0005,0.2157,0.0004,200,0.1034
0.3290,0.1118,0.0358,0.0006,0.2117,0.0049,200,0.1031
0.3306,0.1111,0.0217,0.0011,0.2177,0.0007,200,0.1022
0.3310,0.1133,0.0604,0.0003,0.2170,0.0004,200,0.1028
