response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1385,0.0565,0.0000,0.0011,0.0807,0.0002,200,0.1066
0.1375,0.0558,0.0000,0.0016,0.0800,0.0002,200,0.1076
0.1408,0.0579,0.0000,0.0001,0.0825,0.0002,200,0.1043
0.1379,0.0559,0.0000,0.0012,0.0806,0.0002,200,0.1074
0.1404,0.0568,0.0000,0.0001,0.0833,0.0001,200,0.1051
0.1378,0.0549,0.0000,0.0010,0.0817,0.0001,200,0.1081
0.1420,0.0541,0.0000,0.0002,0.0842,0.0035,200,0.1057
0.1577,0.0573,0.0000,0.0016,0.0986,0.0001,200,0.1062
0.1578,0.0524,0.0000,0.0003,0.1050,0.0001,200,0.1065
0.1591,0.0565,0.0000,0.0001,0.1023,0.0001,200,0.1055
0.1592,0.0532,0.0000,0.0004,0.1054,0.0001,200,0.1054
0.1398,0.0410,0.0000,0.0001,0.0985,0.0001,200,0.1248
0.1570,0.0557,0.0000,0.0015,0.0997,0.0001,200,0.1077
0.1574,0.0564,0.0000,0.0019,0.0990,0.0001,200,0.1073
0.1572,0.0554,0.0000,0.0009,0.1008,0.0001,200,0.1075
0.1581,0.0546,0.0000,0.0001,0.1031,0.0001,200,0.1070
0.1595,0.0578,0.0000,0.0016,0.1000,0.0001,200,0.1056
0.1594,0.0574,0.0000,0.0014,0.1005,0.0001,200,0.1059
0.1651,0.0557,0.0000,0.0017,0.0791,0.0286,200,0.1079
0.1652,0.0552,0.0000,0.0012,0.0801,0.0287,200,0.1079
0.1679,0.0508,0.0000,0.0003,0.1165,0.0001,200,0.1069
0.1692,0.0568,0.0000,0.0001,0.1123,0.0000,200,0.1059
0.1705,0.0554,0.0000,0.0002,0.1142,0.0000,200,0.1046
0.1711,0.0538,0.0000,0.0003,0.1168,0.0001,200,0.1050
0.1696,0.0537,0.0000,0.0002,0.1156,0.0001,200,0.1065
0.1719,0.0539,0.0000,0.0003,0.1174,0.0000,200,0.1045
0.1620,0.0646,0.0000,0.0384,0.0588,0.0001,200,0.1267
0.1845,0.0572,0.0000,0.0001,0.1269,0.0001,200,0.1043
0.1844,0.0584,0.0000,0.0010,0.1247,0.0001,200,0.1044
0.1817,0.0558,0.0000,0.0011,0.1246,0.0001,200,0.1073
0.1837,0.0544,0.0000,0.0002,0.1290,0.0001,200,0.1053
0.1821,0.0523,0.0000,0.0003,0.1293,0.0001,200,0.1069
0.1830,0.0544,0.0000,0.0002,0.1282,0.0001,200,0.1062
0.1824,0.0564,0.0000,0.0014,0.1245,0.0001,200,0.1069
0.1838,0.0555,0.0000,0.0001,0.1280,0.0001,200,0.1055
0.1839,0.0559,0.0000,0.0002,0.1276,0.0001,200,0.1055
0.1644,0.0409,0.0000,0.0001,0.1234,0.0001,200,0.1249
0.1834,0.0542,0.0000,0.0003,0.1288,0.0001,200,0.1060
0.1839,0.0537,0.0000,0.0002,0.1299,0.0001,200,0.1055
0.1845,0.0572,0.0000,0.0001,0.1271,0.0001,200,0.1050
0.1821,0.0518,0.0000,0.0002,0.1299,0.0001,200,0.1075
0.1822,0.0560,0.0000,0.0014,0.1247,0.0000,200,0.1074
0.1827,0.0530,0.0000,0.0002,0.1294,0.0001,200,0.1068
0.1828,0.0514,0.0000,0.0001,0.1311,0.0001,200,0.1070
0.1846,0.0562,0.0000,0.0002,0.1282,0.0001,200,0.1052
0.1855,0.0579,0.0000,0.0001,0.1272,0.0000,200,0.1044
0.1834,0.0565,0.0000,0.0009,0.1258,0.0001,200,0.1065
0.1822,0.0557,0.0000,0.0017,0.1247,0.0001,200,0.1079
0.1827,0.0560,0.0000,0.0016,0.1249,0.0001,200,0.1075
0.1832,0.0538,0.0000,0.0001,0.1292,0.0001,200,0.1072
0.1656,0.0408,0.0000,0.0001,0.1245,0.0001,200,0.1248
0.1846,0.0547,0.0000,0.0001,0.1296,0.0001,200,0.1058
0.1859,0.0553,0.0000,0.0001,0.1301,0.0001,200,0.1046
0.1657,0.0411,0.0000,0.0001,0.1243,0.0001,200,0.1250
0.1857,0.0581,0.0000,0.0013,0.1241,0.0023,200,0.1052
0.1865,0.0560,0.0000,0.0001,0.1303,0.0001,200,0.1052
0.1856,0.0565,0.0000,0.0017,0.1272,0.0001,200,0.1072
0.1879,0.0542,0.0000,0.0003,0.1333,0.0001,200,0.1052
0.1862,0.0568,0.0000,0.0018,0.1274,0.0001,200,0.1068
0.1864,0.0560,0.0000,0.0000,0.1303,0.0001,200,0.1068
0.2255,0.0000,0.0000,0.0001,0.0841,0.0001,200,0.1048
0.1445,0.0539,0.0000,0.0020,0.0885,0.0001,200,0.1910
0.1782,0.0635,0.0000,0.0019,0.1127,0.0001,200,0.1848
0.2428,0.0945,0.0000,0.0024,0.1456,0.0001,200,0.1545
0.2284,0.0572,0.0000,0.0009,0.1701,0.0000,200,0.1881
0.2277,0.0545,0.0000,0.0021,0.1711,0.0000,200,0.1906
0.2327,0.0594,0.0000,0.0035,0.1697,0.0000,200,0.1872
0.2710,0.0931,0.0000,0.0038,0.1740,0.0001,200,0.1560
0.2433,0.0641,0.0000,0.0025,0.1766,0.0001,200,0.1849
0.2439,0.0575,0.0000,0.0012,0.1852,0.0000,200,0.1881
0.2492,0.0602,0.0000,0.0035,0.1853,0.0001,200,0.1861
0.2484,0.0577,0.0000,0.0032,0.1873,0.0001,200,0.1889
0.3112,0.1340,0.0000,0.0001,0.1770,0.0001,200,0.1266
0.3334,0.0000,0.0000,0.0022,0.1891,0.0001,200,0.1060
0.2550,0.0584,0.0000,0.0028,0.1936,0.0001,200,0.1872
0.2560,0.0576,0.0000,0.0020,0.1962,0.0001,200,0.1875
0.2884,0.0886,0.0000,0.0018,0.1979,0.0001,200,0.1585
0.2574,0.0567,0.0000,0.0029,0.1976,0.0001,200,0.1897
0.2589,0.0565,0.0000,0.0025,0.1998,0.0001,200,0.1897
0.2600,0.0574,0.0000,0.0031,0.1993,0.0001,200,0.1891
0.3239,0.1267,0.0000,0.0007,0.1963,0.0001,200,0.1268
0.2667,0.0629,0.0000,0.0026,0.2010,0.0001,200,0.1858
0.2669,0.0633,0.0000,0.0025,0.2009,0.0001,200,0.1857
0.3020,0.0905,0.0000,0.0032,0.2081,0.0001,200,0.1579
0.2714,0.0581,0.0000,0.0033,0.2099,0.0001,200,0.1886
0.3074,0.1173,0.0000,0.0001,0.1899,0.0001,200,0.1527
0.2691,0.0727,0.0000,0.0010,0.1952,0.0001,200,0.1915
0.1730,0.0000,0.0000,0.0002,0.0994,0.0001,200,0.2895
0.2745,0.0574,0.0000,0.0046,0.2124,0.0001,200,0.1881
0.2722,0.0553,0.0000,0.0026,0.2141,0.0001,200,0.1904
0.2787,0.0569,0.0000,0.0027,0.2189,0.0001,200,0.1895
0.3428,0.1329,0.0000,0.0003,0.2094,0.0001,200,0.1254
0.2836,0.0630,0.0000,0.0036,0.2168,0.0001,200,0.1852
0.3192,0.1037,0.0000,0.0008,0.2144,0.0001,200,0.1533
