namespace,value,timestamp
openfaas-fn,5560561664,2021-04-07T08:49:23+02:00
openfaas-fn,5560860672,2021-04-07T08:49:24+02:00
openfaas-fn,5560983552,2021-04-07T08:49:25+02:00
openfaas-fn,5561253888,2021-04-07T08:49:26+02:00
openfaas-fn,5561315328,2021-04-07T08:49:27+02:00
openfaas-fn,5561466880,2021-04-07T08:49:28+02:00
openfaas-fn,5561503744,2021-04-07T08:49:29+02:00
openfaas-fn,5561618432,2021-04-07T08:49:30+02:00
openfaas-fn,5561749504,2021-04-07T08:49:31+02:00
openfaas-fn,5561815040,2021-04-07T08:49:32+02:00
openfaas-fn,5562105856,2021-04-07T08:49:33+02:00
openfaas-fn,5544300544,2021-04-07T08:49:34+02:00
openfaas-fn,5544333312,2021-04-07T08:49:35+02:00
openfaas-fn,5544509440,2021-04-07T08:49:36+02:00
openfaas-fn,5528104960,2021-04-07T08:49:37+02:00
openfaas-fn,5528211456,2021-04-07T08:49:38+02:00
openfaas-fn,5528326144,2021-04-07T08:49:39+02:00
openfaas-fn,5528662016,2021-04-07T08:49:40+02:00
openfaas-fn,5504266240,2021-04-07T08:49:41+02:00
openfaas-fn,5504413696,2021-04-07T08:49:42+02:00
openfaas-fn,5504217088,2021-04-07T08:49:43+02:00
openfaas-fn,5496881152,2021-04-07T08:49:44+02:00
openfaas-fn,5475172352,2021-04-07T08:49:45+02:00
openfaas-fn,5484879872,2021-04-07T08:49:46+02:00
openfaas-fn,5474840576,2021-04-07T08:49:47+02:00
openfaas-fn,5483659264,2021-04-07T08:49:48+02:00
openfaas-fn,5475713024,2021-04-07T08:49:49+02:00
openfaas-fn,5457973248,2021-04-07T08:49:50+02:00
openfaas-fn,5405806592,2021-04-07T08:49:51+02:00
openfaas-fn,5397516288,2021-04-07T08:49:52+02:00
openfaas-fn,5352583168,2021-04-07T08:49:53+02:00
openfaas-fn,5348683776,2021-04-07T08:49:54+02:00
openfaas-fn,5343019008,2021-04-07T08:49:55+02:00
openfaas-fn,5343244288,2021-04-07T08:49:56+02:00
openfaas-fn,5359742976,2021-04-07T08:49:57+02:00
openfaas-fn,5337124864,2021-04-07T08:49:58+02:00
openfaas-fn,5336604672,2021-04-07T08:49:59+02:00
openfaas-fn,5352820736,2021-04-07T08:50:00+02:00
openfaas-fn,5333012480,2021-04-07T08:50:01+02:00
openfaas-fn,5346328576,2021-04-07T08:50:02+02:00
openfaas-fn,5340532736,2021-04-07T08:50:03+02:00
openfaas-fn,5356273664,2021-04-07T08:50:04+02:00
openfaas-fn,5372661760,2021-04-07T08:50:05+02:00
openfaas-fn,5369372672,2021-04-07T08:50:06+02:00
openfaas-fn,5365772288,2021-04-07T08:50:07+02:00
openfaas-fn,5377835008,2021-04-07T08:50:08+02:00
openfaas-fn,5373693952,2021-04-07T08:50:09+02:00
openfaas-fn,5361807360,2021-04-07T08:50:10+02:00
openfaas-fn,5357469696,2021-04-07T08:50:11+02:00
openfaas-fn,5343719424,2021-04-07T08:50:12+02:00
openfaas-fn,5336915968,2021-04-07T08:50:13+02:00
openfaas-fn,5335552000,2021-04-07T08:50:14+02:00
openfaas-fn,5337026560,2021-04-07T08:50:15+02:00
openfaas-fn,5337047040,2021-04-07T08:50:16+02:00
openfaas-fn,5337047040,2021-04-07T08:50:17+02:00
openfaas-fn,5337051136,2021-04-07T08:50:18+02:00
openfaas-fn,5337055232,2021-04-07T08:50:19+02:00
openfaas-fn,5337067520,2021-04-07T08:50:20+02:00
openfaas-fn,5337071616,2021-04-07T08:50:21+02:00
openfaas-fn,5337075712,2021-04-07T08:50:22+02:00
openfaas-fn,5337186304,2021-04-07T08:50:23+02:00
openfaas-fn,5337190400,2021-04-07T08:50:24+02:00
openfaas-fn,5337198592,2021-04-07T08:50:25+02:00
openfaas-fn,5337210880,2021-04-07T08:50:26+02:00
openfaas-fn,5337239552,2021-04-07T08:50:27+02:00
openfaas-fn,5337255936,2021-04-07T08:50:28+02:00
openfaas-fn,5337255936,2021-04-07T08:50:29+02:00
openfaas-fn,5337268224,2021-04-07T08:50:30+02:00
openfaas-fn,5337268224,2021-04-07T08:50:31+02:00
openfaas-fn,5337272320,2021-04-07T08:50:32+02:00
openfaas-fn,5337276416,2021-04-07T08:50:33+02:00
openfaas-fn,5337280512,2021-04-07T08:50:34+02:00
openfaas-fn,5337329664,2021-04-07T08:50:35+02:00
openfaas-fn,5337333760,2021-04-07T08:50:36+02:00
openfaas-fn,5337358336,2021-04-07T08:50:37+02:00
openfaas-fn,5337358336,2021-04-07T08:50:38+02:00
openfaas-fn,5337378816,2021-04-07T08:50:39+02:00
openfaas-fn,5337411584,2021-04-07T08:50:40+02:00
openfaas-fn,5337468928,2021-04-07T08:50:41+02:00
openfaas-fn,5337477120,2021-04-07T08:50:42+02:00
openfaas-fn,5337481216,2021-04-07T08:50:43+02:00
openfaas-fn,5337489408,2021-04-07T08:50:44+02:00
openfaas-fn,5337489408,2021-04-07T08:50:45+02:00
openfaas-fn,5337489408,2021-04-07T08:50:46+02:00
openfaas-fn,5337493504,2021-04-07T08:50:47+02:00
openfaas-fn,5337501696,2021-04-07T08:50:48+02:00
openfaas-fn,5337559040,2021-04-07T08:50:49+02:00
openfaas-fn,5337571328,2021-04-07T08:50:50+02:00
openfaas-fn,5337575424,2021-04-07T08:50:51+02:00
openfaas-fn,5337612288,2021-04-07T08:50:52+02:00
openfaas-fn,5337632768,2021-04-07T08:50:53+02:00
