date,openfaas/faas stars,openfaas/faas cumulative,fission/fission stars,fission/fission cumulative,kubeless/kubeless stars,kubeless/kubeless cumulative
2016-11-08,0,0,2,2,0,0
2016-11-09,0,0,2,4,0,0
2016-11-10,0,0,4,8,0,0
2016-11-11,0,0,0,8,0,0
2016-11-12,0,0,0,8,0,0
2016-11-13,0,0,0,8,0,0
2016-11-14,0,0,1,9,0,0
2016-11-15,0,0,2,11,0,0
2016-11-16,0,0,30,41,0,0
2016-11-17,0,0,38,79,0,0
2016-11-18,0,0,19,98,0,0
2016-11-19,0,0,6,104,0,0
2016-11-20,0,0,3,107,0,0
2016-11-21,0,0,4,111,0,0
2016-11-22,0,0,8,119,0,0
2016-11-23,0,0,2,121,0,0
2016-11-24,0,0,3,124,0,0
2016-11-25,0,0,0,124,0,0
2016-11-26,0,0,0,124,0,0
2016-11-27,0,0,1,125,0,0
2016-11-28,0,0,5,130,0,0
2016-11-29,0,0,42,172,0,0
2016-11-30,0,0,28,200,0,0
2016-12-01,0,0,10,210,0,0
2016-12-02,0,0,2,212,0,0
2016-12-03,0,0,1,213,0,0
2016-12-04,0,0,0,213,0,0
2016-12-05,0,0,3,216,0,0
2016-12-06,0,0,23,239,1,1
2016-12-07,0,0,12,251,4,5
2016-12-08,0,0,2,253,8,13
2016-12-09,0,0,2,255,19,32
2016-12-10,0,0,0,255,11,43
2016-12-11,0,0,27,282,7,50
2016-12-12,0,0,23,305,8,58
2016-12-13,0,0,11,316,4,62
2016-12-14,0,0,3,319,6,68
2016-12-15,0,0,0,319,2,70
2016-12-16,0,0,1,320,3,73
2016-12-17,0,0,2,322,2,75
2016-12-18,0,0,2,324,1,76
2016-12-19,0,0,1,325,0,76
2016-12-20,0,0,3,328,4,80
2016-12-21,0,0,2,330,1,81
2016-12-22,0,0,2,332,0,81
2016-12-23,0,0,2,334,1,82
2016-12-24,0,0,2,336,1,83
2016-12-25,0,0,1,337,0,83
2016-12-26,0,0,0,337,0,83
2016-12-27,0,0,3,340,0,83
2016-12-28,0,0,1,341,1,84
2016-12-29,0,0,0,341,1,85
2016-12-30,0,0,1,342,0,85
2016-12-31,0,0,0,342,1,86
2017-01-01,0,0,0,342,0,86
2017-01-02,0,0,2,344,0,86
2017-01-03,0,0,0,344,1,87
2017-01-04,15,15,6,350,0,87
2017-01-05,24,39,77,427,1,88
2017-01-06,7,46,18,445,0,88
2017-01-07,1,47,6,451,1,89
2017-01-08,5,52,5,456,0,89
2017-01-09,1,53,8,464,1,90
2017-01-10,3,56,3,467,0,90
2017-01-11,2,58,4,471,0,90
2017-01-12,3,61,7,478,1,91
2017-01-13,3,64,34,512,0,91
2017-01-14,0,64,18,530,0,91
2017-01-15,0,64,11,541,0,91
2017-01-16,1,65,14,555,0,91
2017-01-17,4,69,20,575,1,92
2017-01-18,1,70,9,584,3,95
2017-01-19,1,71,10,594,2,97
2017-01-20,1,72,5,599,2,99
2017-01-21,1,73,0,599,0,99
2017-01-22,2,75,2,601,0,99
2017-01-23,13,88,0,601,2,101
2017-01-24,3,91,11,612,5,106
2017-01-25,6,97,19,631,1,107
2017-01-26,10,107,23,654,1,108
2017-01-27,1,108,16,670,1,109
2017-01-28,0,108,12,682,2,111
2017-01-29,1,109,12,694,0,111
2017-01-30,4,113,143,837,3,114
2017-01-31,3,116,242,1079,3,117
2017-02-01,5,121,69,1148,0,117
2017-02-02,1,122,27,1175,3,120
2017-02-03,20,142,33,1208,3,123
2017-02-04,10,152,11,1219,1,124
2017-02-05,3,155,17,1236,1,125
2017-02-06,5,160,30,1266,9,134
2017-02-07,2,162,12,1278,4,138
2017-02-08,1,163,10,1288,3,141
2017-02-09,2,165,6,1294,1,142
2017-02-10,1,166,4,1298,1,143
2017-02-11,1,167,6,1304,0,143
2017-02-12,9,176,4,1308,4,147
2017-02-13,6,182,8,1316,2,149
2017-02-14,0,182,7,1323,0,149
2017-02-15,0,182,3,1326,0,149
2017-02-16,0,182,3,1329,0,149
2017-02-17,7,189,8,1337,1,150
2017-02-18,5,194,5,1342,1,151
2017-02-19,3,197,1,1343,5,156
2017-02-20,0,197,9,1352,3,159
2017-02-21,1,198,7,1359,2,161
2017-02-22,1,199,14,1373,0,161
2017-02-23,1,200,7,1380,0,161
2017-02-24,1,201,6,1386,0,161
2017-02-25,2,203,5,1391,0,161
2017-02-26,3,206,5,1396,1,162
2017-02-27,0,206,16,1412,0,162
2017-02-28,0,206,11,1423,2,164
2017-03-01,4,210,8,1431,0,164
2017-03-02,5,215,4,1435,1,165
2017-03-03,0,215,5,1440,4,169
2017-03-04,1,216,5,1445,1,170
2017-03-05,2,218,2,1447,1,171
2017-03-06,3,221,10,1457,2,173
2017-03-07,4,225,9,1466,1,174
2017-03-08,1,226,8,1474,1,175
2017-03-09,0,226,7,1481,2,177
2017-03-10,3,229,8,1489,2,179
2017-03-11,0,229,6,1495,2,181
2017-03-12,1,230,0,1495,1,182
2017-03-13,2,232,5,1500,3,185
2017-03-14,0,232,2,1502,1,186
2017-03-15,0,232,2,1504,2,188
2017-03-16,1,233,3,1507,5,193
2017-03-17,1,234,4,1511,3,196
2017-03-18,0,234,1,1512,2,198
2017-03-19,0,234,3,1515,2,200
2017-03-20,0,234,6,1521,4,204
2017-03-21,3,237,8,1529,4,208
2017-03-22,230,467,15,1544,4,212
2017-03-23,126,593,7,1551,2,214
2017-03-24,25,618,10,1561,1,215
2017-03-25,16,634,2,1563,0,215
2017-03-26,8,642,6,1569,1,216
2017-03-27,6,648,4,1573,11,227
2017-03-28,18,666,9,1582,3,230
2017-03-29,45,711,4,1586,1,231
2017-03-30,77,788,8,1594,2,233
2017-03-31,34,822,2,1596,4,237
2017-04-01,19,841,3,1599,0,237
2017-04-02,12,853,2,1601,0,237
2017-04-03,15,868,4,1605,2,239
2017-04-04,2,870,3,1608,1,240
2017-04-05,23,893,5,1613,0,240
2017-04-06,6,899,3,1616,9,249
2017-04-07,11,910,7,1623,2,251
2017-04-08,4,914,7,1630,2,253
2017-04-09,11,925,3,1633,1,254
2017-04-10,10,935,5,1638,0,254
2017-04-11,6,941,4,1642,2,256
2017-04-12,5,946,5,1647,1,257
2017-04-13,27,973,4,1651,6,263
2017-04-14,5,978,4,1655,1,264
2017-04-15,10,988,1,1656,1,265
2017-04-16,8,996,1,1657,1,266
2017-04-17,26,1022,1,1658,1,267
2017-04-18,10,1032,7,1665,2,269
2017-04-19,9,1041,3,1668,6,275
2017-04-20,493,1534,5,1673,2,277
2017-04-21,42,1576,3,1676,2,279
2017-04-22,13,1589,3,1679,1,280
2017-04-23,6,1595,0,1679,1,281
2017-04-24,15,1610,3,1682,0,281
2017-04-25,25,1635,3,1685,0,281
2017-04-26,27,1662,3,1688,4,285
2017-04-27,15,1677,13,1701,3,288
2017-04-28,13,1690,4,1705,1,289
2017-04-29,7,1697,4,1709,5,294
2017-04-30,24,1721,1,1710,3,297
2017-05-01,9,1730,2,1712,3,300
2017-05-02,11,1741,2,1714,4,304
2017-05-03,6,1747,4,1718,3,307
2017-05-04,11,1758,6,1724,3,310
2017-05-05,10,1768,4,1728,3,313
2017-05-06,9,1777,5,1733,0,313
2017-05-07,7,1784,0,1733,0,313
2017-05-08,9,1793,5,1738,0,313
2017-05-09,8,1801,2,1740,2,315
2017-05-10,5,1806,3,1743,2,317
2017-05-11,6,1812,3,1746,1,318
2017-05-12,8,1820,4,1750,7,325
2017-05-13,6,1826,1,1751,1,326
2017-05-14,5,1831,2,1753,5,331
2017-05-15,5,1836,6,1759,0,331
2017-05-16,2,1838,2,1761,2,333
2017-05-17,5,1843,4,1765,8,341
2017-05-18,4,1847,8,1773,5,346
2017-05-19,13,1860,7,1780,2,348
2017-05-20,6,1866,4,1784,1,349
2017-05-21,9,1875,2,1786,2,351
2017-05-22,8,1883,3,1789,1,352
2017-05-23,6,1889,7,1796,8,360
2017-05-24,8,1897,6,1802,9,369
2017-05-25,7,1904,8,1810,6,375
2017-05-26,6,1910,3,1813,3,378
2017-05-27,6,1916,3,1816,4,382
2017-05-28,2,1918,1,1817,1,383
2017-05-29,4,1922,1,1818,1,384
2017-05-30,2,1924,6,1824,1,385
2017-05-31,3,1927,2,1826,10,395
2017-06-01,8,1935,4,1830,9,404
2017-06-02,3,1938,4,1834,0,404
2017-06-03,6,1944,2,1836,1,405
2017-06-04,1,1945,4,1840,2,407
2017-06-05,4,1949,3,1843,0,407
2017-06-06,10,1959,7,1850,2,409
2017-06-07,3,1962,2,1852,3,412
2017-06-08,4,1966,0,1852,2,414
2017-06-09,5,1971,1,1853,3,417
2017-06-10,1,1972,2,1855,1,418
2017-06-11,3,1975,2,1857,1,419
2017-06-12,6,1981,10,1867,1,420
2017-06-13,4,1985,7,1874,6,426
2017-06-14,11,1996,8,1882,6,432
2017-06-15,5,2001,6,1888,8,440
2017-06-16,2,2003,5,1893,2,442
2017-06-17,2,2005,7,1900,1,443
2017-06-18,5,2010,4,1904,2,445
2017-06-19,2,2012,2,1906,4,449
2017-06-20,3,2015,10,1916,6,455
2017-06-21,4,2019,9,1925,3,458
2017-06-22,6,2025,11,1936,2,460
2017-06-23,5,2030,10,1946,2,462
2017-06-24,3,2033,5,1951,0,462
2017-06-25,3,2036,3,1954,1,463
2017-06-26,6,2042,9,1963,9,472
2017-06-27,6,2048,8,1971,3,475
2017-06-28,5,2053,3,1974,4,479
2017-06-29,16,2069,6,1980,6,485
2017-06-30,6,2075,5,1985,8,493
2017-07-01,3,2078,2,1987,18,511
2017-07-02,4,2082,0,1987,11,522
2017-07-03,3,2085,4,1991,20,542
2017-07-04,3,2088,6,1997,11,553
2017-07-05,6,2094,5,2002,9,562
2017-07-06,8,2102,8,2010,7,569
2017-07-07,6,2108,8,2018,11,580
2017-07-08,2,2110,5,2023,3,583
2017-07-09,4,2114,4,2027,4,587
2017-07-10,6,2120,4,2031,2,589
2017-07-11,7,2127,8,2039,4,593
2017-07-12,6,2133,9,2048,0,593
2017-07-13,6,2139,7,2055,2,595
2017-07-14,7,2146,5,2060,2,597
2017-07-15,1,2147,1,2061,0,597
2017-07-16,1,2148,2,2063,0,597
2017-07-17,9,2157,6,2069,0,597
2017-07-18,5,2162,3,2072,5,602
2017-07-19,5,2167,6,2078,8,610
2017-07-20,11,2178,3,2081,2,612
2017-07-21,3,2181,3,2084,3,615
2017-07-22,4,2185,1,2085,0,615
2017-07-23,2,2187,1,2086,1,616
2017-07-24,7,2194,1,2087,3,619
2017-07-25,13,2207,2,2089,1,620
2017-07-26,12,2219,4,2093,6,626
2017-07-27,5,2224,9,2102,3,629
2017-07-28,2,2226,1,2103,4,633
2017-07-29,5,2231,2,2105,3,636
2017-07-30,9,2240,1,2106,2,638
2017-07-31,20,2260,2,2108,1,639
2017-08-01,1,2261,2,2110,7,646
2017-08-02,6,2267,2,2112,6,652
2017-08-03,16,2283,2,2114,2,654
2017-08-04,1,2284,6,2120,1,655
2017-08-05,10,2294,2,2122,0,655
2017-08-06,12,2306,2,2124,2,657
2017-08-07,3,2309,3,2127,4,661
2017-08-08,6,2315,4,2131,0,661
2017-08-09,49,2364,5,2136,6,667
2017-08-10,40,2404,6,2142,8,675
2017-08-11,22,2426,8,2150,5,680
2017-08-12,10,2436,3,2153,3,683
2017-08-13,21,2457,3,2156,3,686
2017-08-14,174,2631,10,2166,3,689
2017-08-15,119,2750,6,2172,6,695
2017-08-16,80,2830,9,2181,3,698
2017-08-17,32,2862,4,2185,9,707
2017-08-18,23,2885,7,2192,2,709
2017-08-19,293,3178,3,2195,2,711
2017-08-20,258,3436,2,2197,2,713
2017-08-21,433,3869,5,2202,5,718
2017-08-22,266,4135,3,2205,11,729
2017-08-23,142,4277,9,2214,19,748
2017-08-24,106,4383,2,2216,10,758
2017-08-25,59,4442,8,2224,7,765
2017-08-26,45,4487,1,2225,1,766
2017-08-27,43,4530,5,2230,3,769
2017-08-28,105,4635,14,2244,8,777
2017-08-29,62,4697,8,2252,6,783
2017-08-30,32,4729,1,2253,34,817
2017-08-31,70,4799,4,2257,50,867
2017-09-01,36,4835,1,2258,24,891
2017-09-02,15,4850,2,2260,19,910
2017-09-03,18,4868,2,2262,4,914
2017-09-04,37,4905,4,2266,7,921
2017-09-05,53,4958,3,2269,9,930
2017-09-06,33,4991,6,2275,8,938
2017-09-07,26,5017,0,2275,2,940
2017-09-08,23,5040,2,2277,6,946
2017-09-09,19,5059,0,2277,3,949
2017-09-10,9,5068,3,2280,5,954
2017-09-11,20,5088,2,2282,13,967
2017-09-12,31,5119,7,2289,10,977
2017-09-13,32,5151,8,2297,15,992
2017-09-14,14,5165,5,2302,7,999
2017-09-15,25,5190,3,2305,8,1007
2017-09-16,6,5196,0,2305,2,1009
2017-09-17,4,5200,5,2310,3,1012
2017-09-18,38,5238,4,2314,2,1014
2017-09-19,30,5268,2,2316,3,1017
2017-09-20,21,5289,2,2318,6,1023
2017-09-21,16,5305,3,2321,6,1029
2017-09-22,15,5320,0,2321,4,1033
2017-09-23,17,5337,0,2321,0,1033
2017-09-24,23,5360,2,2323,7,1040
2017-09-25,48,5408,1,2324,3,1043
2017-09-26,38,5446,1,2325,4,1047
2017-09-27,15,5461,3,2328,2,1049
2017-09-28,31,5492,3,2331,7,1056
2017-09-29,26,5518,5,2336,9,1065
2017-09-30,10,5528,2,2338,4,1069
2017-10-01,16,5544,2,2340,3,1072
2017-10-02,20,5564,3,2343,3,1075
2017-10-03,13,5577,4,2347,7,1082
2017-10-04,27,5604,8,2355,2,1084
2017-10-05,23,5627,6,2361,3,1087
2017-10-06,26,5653,4,2365,7,1094
2017-10-07,18,5671,2,2367,3,1097
2017-10-08,26,5697,2,2369,3,1100
