response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3164,0.1479,0.0846,0.0008,0.1668,0.0007,200,0.1074
0.3221,0.1486,0.0209,0.0020,0.1709,0.0005,200,0.1045
0.3196,0.1479,0.0850,0.0011,0.1704,0.0001,200,0.1071
0.3204,0.1483,0.0851,0.0011,0.1708,0.0001,200,0.1065
0.3125,0.1404,0.0777,0.0011,0.1709,0.0001,200,0.1145
0.3244,0.1497,0.0235,0.0024,0.1715,0.0007,200,0.1038
0.3317,0.1492,0.0206,0.0024,0.1792,0.0007,200,0.1045
0.3337,0.1506,0.0234,0.0013,0.1816,0.0001,200,0.1032
0.3384,0.1498,0.0234,0.0024,0.1861,0.0001,200,0.1038
0.3540,0.1504,0.0513,0.0021,0.2014,0.0001,200,0.1048
0.3519,0.1476,0.0484,0.0018,0.2023,0.0002,200,0.1072
0.3623,0.1513,0.0512,0.0016,0.2092,0.0001,200,0.1033
0.3679,0.1498,0.0216,0.0025,0.2155,0.0001,200,0.1040
0.3679,0.1505,0.0215,0.0029,0.2143,0.0001,200,0.1041
0.3658,0.1484,0.0498,0.0017,0.2157,0.0000,200,0.1062
0.3687,0.1506,0.0234,0.0019,0.2161,0.0001,200,0.1035
0.3778,0.1497,0.0207,0.0026,0.2255,0.0001,200,0.1043
0.3759,0.1487,0.0862,0.0019,0.2253,0.0001,200,0.1062
0.3680,0.1403,0.0131,0.0017,0.2259,0.0001,200,0.1143
0.3785,0.1493,0.0225,0.0020,0.2270,0.0001,200,0.1039
0.3757,0.1494,0.0831,0.0001,0.2261,0.0001,200,0.1103
0.4086,0.1486,0.0500,0.0020,0.2579,0.0000,200,0.1062
0.4067,0.1479,0.0818,0.0001,0.2586,0.0001,200,0.1117
0.4192,0.1503,0.0223,0.0014,0.2674,0.0001,200,0.1036
0.4178,0.1482,0.0211,0.0021,0.2674,0.0001,200,0.1051
0.4193,0.1504,0.0234,0.0015,0.2673,0.0001,200,0.1035
0.4149,0.1604,0.1086,0.0004,0.2539,0.0001,200,0.1080
0.4157,0.1474,0.0488,0.0016,0.2666,0.0001,200,0.1073
