namespace,value,timestamp
default,3235405824,2021-03-22T15:00:17+01:00
default,3235405824,2021-03-22T15:00:18+01:00
default,3235405824,2021-03-22T15:00:19+01:00
default,3235405824,2021-03-22T15:00:20+01:00
default,3235405824,2021-03-22T15:00:21+01:00
default,3193978880,2021-03-22T15:00:22+01:00
default,3151560704,2021-03-22T15:00:23+01:00
default,3151560704,2021-03-22T15:00:24+01:00
default,3063500800,2021-03-22T15:00:25+01:00
default,2977357824,2021-03-22T15:00:26+01:00
default,2977357824,2021-03-22T15:00:27+01:00
default,2977357824,2021-03-22T15:00:28+01:00
default,2852618240,2021-03-22T15:00:29+01:00
default,2852618240,2021-03-22T15:00:30+01:00
default,2721533952,2021-03-22T15:00:31+01:00
default,2591055872,2021-03-22T15:00:32+01:00
default,2493108224,2021-03-22T15:00:33+01:00
default,2350178304,2021-03-22T15:00:34+01:00
default,2304483328,2021-03-22T15:00:35+01:00
default,2079625216,2021-03-22T15:00:36+01:00
default,1817149440,2021-03-22T15:00:37+01:00
default,1817149440,2021-03-22T15:00:38+01:00
default,1709236224,2021-03-22T15:00:39+01:00
default,1599586304,2021-03-22T15:00:40+01:00
default,1602285568,2021-03-22T15:00:41+01:00
default,1584783360,2021-03-22T15:00:42+01:00
default,1583316992,2021-03-22T15:00:43+01:00
default,1616109568,2021-03-22T15:00:44+01:00
default,1683996672,2021-03-22T15:00:45+01:00
default,1744703488,2021-03-22T15:00:46+01:00
default,1744703488,2021-03-22T15:00:47+01:00
default,1825943552,2021-03-22T15:00:48+01:00
default,1949159424,2021-03-22T15:00:49+01:00
default,1981337600,2021-03-22T15:00:50+01:00
default,2142990336,2021-03-22T15:00:51+01:00
default,2236788736,2021-03-22T15:00:52+01:00
default,2521849856,2021-03-22T15:00:53+01:00
default,2714865664,2021-03-22T15:00:54+01:00
default,2871214080,2021-03-22T15:00:55+01:00
default,3001118720,2021-03-22T15:00:56+01:00
default,3023642624,2021-03-22T15:00:57+01:00
default,3122290688,2021-03-22T15:00:58+01:00
default,3266994176,2021-03-22T15:00:59+01:00
default,3335639040,2021-03-22T15:01:00+01:00
default,3366227968,2021-03-22T15:01:01+01:00
default,3366227968,2021-03-22T15:01:02+01:00
default,3386224640,2021-03-22T15:01:03+01:00
default,3397525504,2021-03-22T15:01:04+01:00
default,3410071552,2021-03-22T15:01:05+01:00
default,3433078784,2021-03-22T15:01:06+01:00
default,3427401728,2021-03-22T15:01:07+01:00
default,3430182912,2021-03-22T15:01:08+01:00
default,3432210432,2021-03-22T15:01:09+01:00
default,3447967744,2021-03-22T15:01:10+01:00
default,3446550528,2021-03-22T15:01:11+01:00
default,3452182528,2021-03-22T15:01:12+01:00
default,3444609024,2021-03-22T15:01:13+01:00
default,3434545152,2021-03-22T15:01:14+01:00
default,3433365504,2021-03-22T15:01:15+01:00
default,3433623552,2021-03-22T15:01:16+01:00
default,3433627648,2021-03-22T15:01:17+01:00
default,3429703680,2021-03-22T15:01:18+01:00
default,3423850496,2021-03-22T15:01:19+01:00
default,3423854592,2021-03-22T15:01:20+01:00
default,3423862784,2021-03-22T15:01:21+01:00
default,3423866880,2021-03-22T15:01:22+01:00
default,3423875072,2021-03-22T15:01:23+01:00
