response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.2527,0.1438,0.0000,0.0010,0.1078,0.0001,200,0.1252
0.2711,0.1430,0.0000,0.0015,0.1263,0.0002,200,0.1262
0.2960,0.1688,0.0000,0.0003,0.1267,0.0001,200,0.1032
0.2967,0.1670,0.0000,0.0004,0.1292,0.0001,200,0.1047
0.2549,0.1462,0.0000,0.0048,0.1038,0.0001,200,0.1470
0.2769,0.1445,0.0000,0.0016,0.1307,0.0001,200,0.1257
0.1986,0.0954,0.0000,0.0002,0.1029,0.0001,200,0.2278
0.3006,0.1448,0.0000,0.0008,0.1548,0.0001,200,0.1259
0.2804,0.1370,0.0000,0.0001,0.1433,0.0000,200,0.1463
0.2432,0.1179,0.0000,0.0133,0.1118,0.0000,200,0.1839
0.1995,0.0852,0.0000,0.0026,0.1115,0.0001,200,0.2302
0.2549,0.0804,0.0000,0.0210,0.1533,0.0001,200,0.2130
0.2426,0.0975,0.0000,0.0003,0.1447,0.0001,200,0.2308
0.3883,0.1685,0.0000,0.0005,0.2191,0.0001,200,0.1037
0.3750,0.1439,0.0000,0.0008,0.2300,0.0001,200,0.1257
0.2894,0.0875,0.0000,0.0184,0.1833,0.0001,200,0.2124
0.2733,0.0918,0.0000,0.0051,0.1763,0.0001,200,0.2296
0.3985,0.1653,0.0000,0.0009,0.2321,0.0001,200,0.1045
0.3568,0.1384,0.0000,0.0000,0.2183,0.0001,200,0.1463
0.3769,0.1418,0.0000,0.0007,0.2344,0.0001,200,0.1263
0.5062,0.1685,0.0000,0.0006,0.3370,0.0001,200,0.1037
0.4844,0.1442,0.0000,0.0009,0.3393,0.0000,200,0.1256
0.5054,0.1655,0.0000,0.0014,0.3384,0.0000,200,0.1046
0.5061,0.1653,0.0000,0.0016,0.3391,0.0001,200,0.1040
0.5059,0.1648,0.0000,0.0011,0.3400,0.0000,200,0.1043
0.4840,0.1427,0.0000,0.0015,0.3397,0.0000,200,0.1263
0.5069,0.1657,0.0000,0.0011,0.3401,0.0001,200,0.1035
0.5056,0.1640,0.0000,0.0009,0.3406,0.0000,200,0.1049
0.6017,0.1689,0.0000,0.0008,0.4320,0.0000,200,0.1034
0.6012,0.1649,0.0000,0.0013,0.4349,0.0001,200,0.1040
0.6043,0.1669,0.0000,0.0016,0.4358,0.0000,200,0.1036
0.4871,0.0742,0.0000,0.0195,0.3932,0.0000,200,0.2209
0.6038,0.1677,0.0000,0.0008,0.4352,0.0000,200,0.1042
0.4969,0.0898,0.0000,0.0208,0.3862,0.0000,200,0.2111
0.4843,0.0858,0.0000,0.0035,0.3949,0.0000,200,0.2301
0.6113,0.1690,0.0000,0.0004,0.4417,0.0001,200,0.1031
0.5884,0.1434,0.0000,0.0014,0.4435,0.0001,200,0.1261
0.5887,0.1444,0.0000,0.0002,0.4440,0.0001,200,0.1257
0.6098,0.1651,0.0000,0.0006,0.4441,0.0000,200,0.1047
0.6105,0.1660,0.0000,0.0008,0.4437,0.0000,200,0.1040
0.6101,0.1653,0.0000,0.0009,0.4439,0.0000,200,0.1045
0.5882,0.1424,0.0000,0.0011,0.4446,0.0000,200,0.1264
0.5047,0.1249,0.0000,0.0002,0.3794,0.0000,200,0.2099
0.6118,0.1692,0.0000,0.0007,0.4417,0.0000,200,0.1030
0.5893,0.1446,0.0000,0.0012,0.4434,0.0000,200,0.1255
0.4845,0.0977,0.0000,0.0014,0.3853,0.0000,200,0.2303
0.6102,0.1647,0.0000,0.0003,0.4451,0.0000,200,0.1046
0.5930,0.1454,0.0000,0.0007,0.4467,0.0000,200,0.1252
0.6714,0.1675,0.0000,0.0010,0.5028,0.0001,200,0.1046
0.5211,0.0727,0.0000,0.0009,0.4473,0.0001,200,0.2549
0.6721,0.1654,0.0000,0.0013,0.5053,0.0001,200,0.1039
0.6503,0.1447,0.0000,0.0005,0.5050,0.0001,200,0.1257
0.7725,0.1661,0.0000,0.0009,0.6054,0.0001,200,0.1040
0.7509,0.1443,0.0000,0.0010,0.6055,0.0001,200,0.1256
0.7306,0.1377,0.0000,0.0002,0.5926,0.0001,200,0.1460
0.6648,0.1134,0.0000,0.0001,0.5512,0.0001,200,0.2120
0.7533,0.1453,0.0000,0.0009,0.6070,0.0001,200,0.1254
0.7744,0.1657,0.0000,0.0009,0.6077,0.0001,200,0.1044
0.6656,0.1050,0.0000,0.0013,0.5592,0.0001,200,0.2132
0.6498,0.0993,0.0000,0.0003,0.5501,0.0001,200,0.2303
0.6596,0.0727,0.0000,0.0210,0.5658,0.0001,200,0.2258
0.7624,0.1430,0.0000,0.0015,0.6178,0.0001,200,0.1262
0.6618,0.0877,0.0000,0.0011,0.5730,0.0001,200,0.2307
0.6383,0.0753,0.0000,0.0007,0.5622,0.0001,200,0.2543
0.7098,0.1407,0.0000,0.0010,0.5680,0.0001,200,0.1828
0.6802,0.0853,0.0000,0.0193,0.5754,0.0001,200,0.2125
0.7450,0.1496,0.0000,0.0202,0.5751,0.0001,200,0.1477
0.7667,0.1432,0.0000,0.0017,0.6218,0.0001,200,0.1261
0.7669,0.1433,0.0000,0.0018,0.6217,0.0001,200,0.1262
0.7896,0.1688,0.0000,0.0007,0.6200,0.0001,200,0.1034
0.7680,0.1467,0.0000,0.0005,0.6207,0.0001,200,0.1251
0.7911,0.1672,0.0000,0.0007,0.6232,0.0000,200,0.1047
0.7483,0.1460,0.0000,0.0068,0.5955,0.0001,200,0.1475
0.7921,0.1663,0.0000,0.0011,0.6246,0.0001,200,0.1038
0.7949,0.1667,0.0000,0.0013,0.6268,0.0001,200,0.1035
0.7726,0.1437,0.0000,0.0015,0.6274,0.0001,200,0.1259
0.6704,0.0968,0.0000,0.0002,0.5734,0.0000,200,0.2281
0.7727,0.1436,0.0000,0.0016,0.6274,0.0001,200,0.1260
0.7968,0.1680,0.0000,0.0006,0.6281,0.0000,200,0.1039
0.7001,0.0845,0.0000,0.0193,0.5962,0.0000,200,0.2117
0.7299,0.1145,0.0000,0.0057,0.6096,0.0000,200,0.1818
0.8077,0.1659,0.0000,0.0013,0.6404,0.0000,200,0.1042
0.7006,0.1238,0.0000,0.0002,0.5765,0.0000,200,0.2114
0.8079,0.1676,0.0000,0.0003,0.6399,0.0000,200,0.1042
0.7024,0.0973,0.0000,0.0003,0.6048,0.0001,200,0.2308
0.7083,0.0964,0.0000,0.0002,0.6116,0.0001,200,0.2312
0.8373,0.1679,0.0000,0.0006,0.6687,0.0001,200,0.1041
0.8379,0.1681,0.0000,0.0003,0.6694,0.0001,200,0.1039
0.7369,0.0881,0.0000,0.0026,0.6461,0.0001,200,0.2305
0.8416,0.1446,0.0000,0.0005,0.6964,0.0001,200,0.1259
0.8419,0.1453,0.0000,0.0011,0.6954,0.0001,200,0.1255
0.8413,0.1432,0.0000,0.0017,0.6962,0.0001,200,0.1262
0.8416,0.1437,0.0000,0.0007,0.6971,0.0001,200,0.1259
0.7828,0.1114,0.0000,0.0195,0.6518,0.0001,200,0.1848
0.7827,0.1108,0.0000,0.0192,0.6525,0.0001,200,0.1848
0.8412,0.1432,0.0000,0.0019,0.6961,0.0001,200,0.1263
0.7395,0.0966,0.0000,0.0002,0.6425,0.0000,200,0.2282
0.8416,0.1436,0.0000,0.0021,0.6959,0.0000,200,0.1261
0.7860,0.1039,0.0000,0.0113,0.6707,0.0000,200,0.1816
0.8221,0.1380,0.0000,0.0000,0.6840,0.0000,200,0.1456
0.8417,0.1437,0.0000,0.0021,0.6958,0.0001,200,0.1261
0.8692,0.1683,0.0000,0.0004,0.7005,0.0001,200,0.1039
0.8493,0.1448,0.0000,0.0006,0.7037,0.0001,200,0.1257
0.8317,0.1373,0.0000,0.0001,0.6941,0.0001,200,0.1464
0.7708,0.1128,0.0000,0.0020,0.6560,0.0001,200,0.2122
0.7539,0.0868,0.0000,0.0032,0.6638,0.0001,200,0.2291
0.8633,0.1434,0.0000,0.0020,0.7177,0.0001,200,0.1262
0.7627,0.0988,0.0000,0.0016,0.6622,0.0001,200,0.2270
0.8881,0.1659,0.0000,0.0051,0.7170,0.0001,200,0.1035
0.7655,0.0888,0.0000,0.0082,0.6684,0.0001,200,0.2261
0.8453,0.1369,0.0000,0.0010,0.7074,0.0001,200,0.1464
0.7694,0.0736,0.0000,0.0170,0.6767,0.0001,200,0.2224
0.8144,0.1169,0.0000,0.0172,0.6802,0.0001,200,0.1851
0.8962,0.1658,0.0000,0.0011,0.7289,0.0002,200,0.1033
0.8955,0.1660,0.0000,0.0015,0.7279,0.0001,200,0.1042
0.8523,0.1421,0.0000,0.0083,0.7018,0.0001,200,0.1474
0.9135,0.1672,0.0000,0.0005,0.7457,0.0001,200,0.1045
0.8928,0.1463,0.0000,0.0001,0.7463,0.0001,200,0.1252
0.7917,0.1025,0.0000,0.0007,0.6884,0.0000,200,0.2265
0.8930,0.1425,0.0000,0.0012,0.7491,0.0001,200,0.1263
0.8930,0.1425,0.0000,0.0012,0.7492,0.0001,200,0.1263
0.7887,0.0914,0.0000,0.0083,0.6888,0.0001,200,0.2307
0.8942,0.1456,0.0000,0.0010,0.7474,0.0001,200,0.1252
0.8721,0.1503,0.0000,0.0316,0.6901,0.0000,200,0.1473
0.8095,0.0864,0.0000,0.0252,0.6978,0.0001,200,0.2099
0.7931,0.0914,0.0000,0.0144,0.6872,0.0001,200,0.2263
0.9156,0.1658,0.0000,0.0017,0.7480,0.0000,200,0.1039
0.8938,0.2031,0.0000,0.0005,0.6902,0.0000,200,0.1257
0.8946,0.1450,0.0000,0.0014,0.7481,0.0001,200,0.1251
0.8961,0.1452,0.0000,0.0006,0.7502,0.0001,200,0.1254
0.8754,0.1466,0.0000,0.0067,0.7220,0.0000,200,0.1474
0.8771,0.1375,0.0000,0.0011,0.7384,0.0000,200,0.1460
1.0258,0.1048,0.0000,0.0137,0.9072,0.0001,200,0.2115
0.9755,0.1084,0.0000,0.0007,0.8664,0.0001,200,0.2618
1.1066,0.1377,0.0000,0.0001,0.9687,0.0001,200,0.1460
1.1511,0.1660,0.0000,0.0022,0.9827,0.0001,200,0.1038
1.1532,0.1657,0.0000,0.0007,0.9866,0.0001,200,0.1041
1.0316,0.0915,0.0000,0.0082,0.9317,0.0001,200,0.2306
1.0064,0.1059,0.0000,0.0013,0.8990,0.0001,200,0.2635
1.1654,0.1798,0.0000,0.0003,0.9852,0.0001,200,0.1046
1.0876,0.1505,0.0000,0.0002,0.9369,0.0001,200,0.1846
1.0139,0.1034,0.0000,0.0016,0.9088,0.0001,200,0.2662
1.0845,0.0849,0.0000,0.0261,0.9734,0.0001,200,0.2106
1.0687,0.1075,0.0000,0.0005,0.9606,0.0001,200,0.2623
1.1006,0.2096,0.0000,0.0000,0.8910,0.0000,200,0.2319
1.1120,0.1732,0.0000,0.0000,0.8902,0.0001,200,0.2253
1.1233,0.0000,0.0000,0.0000,0.9342,0.0001,200,0.2576
1.1182,0.1682,0.0000,0.0002,0.9497,0.0001,200,0.2733
1.1664,0.1678,0.0000,0.0001,0.9503,0.0001,200,0.2251
1.1810,0.0856,0.0000,0.0197,1.0757,0.0000,200,0.2124
0.5081,0.0000,0.0000,0.0000,0.5080,0.0000,200,0.8855
1.2068,0.0000,0.0000,0.0004,0.9564,0.0000,200,0.1868
1.2348,0.1108,0.0000,0.0066,1.1173,0.0001,200,0.1810
0.5173,0.0000,0.0000,0.0000,0.5172,0.0000,200,0.8987
