response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.4310,0.0614,0.0000,0.0003,0.3690,0.0002,200,0.1020
0.7791,0.0615,0.0000,0.0004,0.7169,0.0001,200,0.1016
0.7938,0.0614,0.0000,0.0003,0.7318,0.0002,200,0.1017
1.0632,0.0619,0.0000,0.0002,1.0009,0.0002,200,0.1017
1.1711,0.0612,0.0000,0.0004,1.1092,0.0001,200,0.1019
1.3729,0.0614,0.0000,0.0003,1.3111,0.0001,200,0.1017
1.6606,0.0624,0.0000,0.0003,1.5977,0.0001,200,0.1012
1.7796,0.0619,0.0000,0.0005,1.7169,0.0001,200,0.1012
2.0728,0.0624,0.0000,0.0004,2.0097,0.0001,200,0.1010
2.1788,0.0621,0.0000,0.0002,2.1159,0.0001,200,0.1010
2.2531,0.0000,0.0000,0.0001,2.2528,0.0002,200,0.5330
1.9916,0.0000,0.0000,0.0001,1.9913,0.0001,200,0.8808
2.1922,0.0000,0.0000,0.0001,2.1919,0.0001,200,0.8954
2.2233,0.0000,0.0000,0.0001,2.2230,0.0001,200,1.1649
2.2023,0.0000,0.0000,0.0001,2.2020,0.0001,200,1.2730
2.4376,0.0000,0.0000,0.0000,2.4375,0.0001,200,1.4746
2.3248,0.0000,0.0000,0.0000,2.3246,0.0001,200,1.7618
2.3910,0.0000,0.0000,0.0001,2.3908,0.0001,200,1.8808
2.2993,0.0000,0.0000,0.0001,2.2990,0.0001,200,2.1738
2.4525,0.0000,0.0000,0.0001,2.4523,0.0001,200,2.2798
2.3619,0.0000,0.0000,0.0001,2.3617,0.0001,200,2.7861
2.4021,0.0000,0.0000,0.0001,2.4019,0.0001,200,2.8724
2.4633,0.0000,0.0000,0.0001,2.4630,0.0002,200,3.0877
2.5827,0.0000,0.0000,0.0001,2.5825,0.0001,200,3.3882
2.5970,0.0000,0.0000,0.0001,2.5966,0.0001,200,3.4753
2.4583,0.0000,0.0000,0.0000,2.4582,0.0001,200,3.9122
2.3866,0.0000,0.0000,0.0000,2.3863,0.0002,200,4.0866
2.5082,0.0000,0.0000,0.0000,2.5080,0.0001,200,4.2718
2.4013,0.0000,0.0000,0.0001,2.4011,0.0001,200,4.4731
2.3544,0.0000,0.0000,0.0001,2.3542,0.0001,200,4.7323
2.5533,0.0000,0.0000,0.0000,2.5531,0.0001,200,5.1480
2.5980,0.0000,0.0000,0.0001,2.5977,0.0002,200,5.2745
2.5505,0.0000,0.0000,0.0001,2.5502,0.0001,200,5.5510
2.7054,0.0000,0.0000,0.0001,2.7050,0.0001,200,5.9709
2.8580,0.0000,0.0000,0.0002,2.8576,0.0001,200,6.0723
2.7643,0.0000,0.0000,0.0001,2.7640,0.0001,200,6.3706
2.8662,0.0000,0.0000,0.0001,2.8660,0.0001,200,6.4731
2.7649,0.0000,0.0000,0.0001,2.7646,0.0002,200,6.7800
2.8033,0.0000,0.0000,0.0001,2.8031,0.0001,200,6.8745
2.8675,0.0000,0.0000,0.0001,2.8672,0.0001,200,7.0867
2.7718,0.0000,0.0000,0.0001,2.7715,0.0001,200,7.7013
2.9018,0.0000,0.0000,0.0001,2.9015,0.0001,200,7.8725
2.7690,0.0000,0.0000,0.0001,2.7687,0.0001,200,8.1014
2.4052,0.0000,0.0000,0.0001,2.4050,0.0001,200,8.6763
2.3557,0.0000,0.0000,0.0000,2.3555,0.0001,200,8.9303
2.3379,0.0000,0.0000,0.0001,2.3375,0.0002,200,9.1349
2.3324,0.0000,0.0000,0.0000,2.3323,0.0001,200,9.3393
2.4190,0.0000,0.0000,0.0001,2.4188,0.0001,200,9.5448
2.3914,0.0000,0.0000,0.0001,2.3911,0.0002,200,9.6778
2.3400,0.0000,0.0000,0.0001,2.3372,0.0026,200,9.9542
2.6041,0.0000,0.0000,0.0001,2.6038,0.0001,200,10.4731
2.4951,0.0000,0.0000,0.0001,2.4949,0.0001,200,10.7743
2.6693,0.0000,0.0000,0.0001,2.6691,0.0000,200,10.8704
2.5947,0.0000,0.0000,0.0001,2.5944,0.0001,200,11.0815
2.6041,0.0000,0.0000,0.0001,2.6038,0.0001,200,11.2860
2.7039,0.0000,0.0000,0.0001,2.7037,0.0001,200,11.4728
2.6075,0.0000,0.0000,0.0000,2.6073,0.0002,200,11.6718
2.5983,0.0000,0.0000,0.0000,2.5980,0.0001,200,11.9639
2.6032,0.0000,0.0000,0.0001,2.6029,0.0002,200,12.0692
2.6777,0.0000,0.0000,0.0001,2.6775,0.0001,200,12.2942
2.3044,0.0000,0.0000,0.0000,2.3041,0.0002,200,13.0772
2.5224,0.0000,0.0000,0.0000,2.5222,0.0001,200,13.2694
2.3420,0.0000,0.0000,0.0000,2.3418,0.0001,200,13.5397
2.4227,0.0000,0.0000,0.0001,2.4224,0.0001,200,13.6761
2.4133,0.0000,0.0000,0.0001,2.4130,0.0001,200,13.8901
2.3350,0.0000,0.0000,0.0001,2.3347,0.0001,200,14.1767
2.4338,0.0000,0.0000,0.0001,2.4336,0.0001,200,14.2793
2.3561,0.0000,0.0000,0.0000,2.3559,0.0001,200,14.5621
2.4494,0.0000,0.0000,0.0001,2.4491,0.0001,200,14.6725
2.4999,0.0000,0.0000,0.0001,2.4996,0.0001,200,14.9719
2.4898,0.0000,0.0000,0.0001,2.4895,0.0002,200,15.3816
2.5492,0.0000,0.0000,0.0001,2.5489,0.0002,200,15.7918
2.5892,0.0000,0.0000,0.0001,2.5890,0.0001,200,15.8817
2.6634,0.0000,0.0000,0.0001,2.6631,0.0001,200,16.0988
2.5710,0.0000,0.0000,0.0000,2.5708,0.0001,200,16.3034
2.6585,0.0000,0.0000,0.0001,2.6582,0.0001,200,16.5117
2.5591,0.0000,0.0000,0.0001,2.5589,0.0001,200,16.7132
2.5519,0.0000,0.0000,0.0001,2.5516,0.0001,200,16.9182
