namespace,value,timestamp
fission-function,458616832,2021-03-23T14:53:02+01:00
fission-function,458616832,2021-03-23T14:53:03+01:00
fission-function,458616832,2021-03-23T14:53:04+01:00
fission-function,458616832,2021-03-23T14:53:05+01:00
fission-function,458616832,2021-03-23T14:53:06+01:00
fission-function,458616832,2021-03-23T14:53:07+01:00
fission-function,458616832,2021-03-23T14:53:08+01:00
fission-function,458616832,2021-03-23T14:53:09+01:00
fission-function,458616832,2021-03-23T14:53:10+01:00
fission-function,458616832,2021-03-23T14:53:11+01:00
fission-function,458616832,2021-03-23T14:53:12+01:00
fission-function,458616832,2021-03-23T14:53:13+01:00
fission-function,458616832,2021-03-23T14:53:14+01:00
fission-function,458616832,2021-03-23T14:53:15+01:00
fission-function,458616832,2021-03-23T14:53:16+01:00
fission-function,458616832,2021-03-23T14:53:17+01:00
fission-function,458616832,2021-03-23T14:53:18+01:00
fission-function,458616832,2021-03-23T14:53:19+01:00
fission-function,458616832,2021-03-23T14:53:20+01:00
fission-function,458616832,2021-03-23T14:53:21+01:00
fission-function,458616832,2021-03-23T14:53:22+01:00
fission-function,458616832,2021-03-23T14:53:23+01:00
fission-function,458616832,2021-03-23T14:53:24+01:00
fission-function,458616832,2021-03-23T14:53:25+01:00
fission-function,451366912,2021-03-23T14:53:26+01:00
fission-function,451366912,2021-03-23T14:53:27+01:00
fission-function,451366912,2021-03-23T14:53:28+01:00
fission-function,449933312,2021-03-23T14:53:29+01:00
fission-function,449933312,2021-03-23T14:53:30+01:00
fission-function,457981952,2021-03-23T14:53:31+01:00
fission-function,457981952,2021-03-23T14:53:32+01:00
fission-function,461799424,2021-03-23T14:53:33+01:00
fission-function,461799424,2021-03-23T14:53:34+01:00
fission-function,477470720,2021-03-23T14:53:35+01:00
fission-function,477470720,2021-03-23T14:53:36+01:00
fission-function,477470720,2021-03-23T14:53:37+01:00
fission-function,481087488,2021-03-23T14:53:38+01:00
fission-function,472584192,2021-03-23T14:53:39+01:00
fission-function,472584192,2021-03-23T14:53:40+01:00
fission-function,472584192,2021-03-23T14:53:41+01:00
fission-function,477073408,2021-03-23T14:53:42+01:00
fission-function,492666880,2021-03-23T14:53:43+01:00
fission-function,492666880,2021-03-23T14:53:44+01:00
fission-function,492666880,2021-03-23T14:53:45+01:00
fission-function,492666880,2021-03-23T14:53:46+01:00
fission-function,492666880,2021-03-23T14:53:47+01:00
fission-function,492666880,2021-03-23T14:53:48+01:00
fission-function,480260096,2021-03-23T14:53:49+01:00
fission-function,480260096,2021-03-23T14:53:50+01:00
fission-function,482639872,2021-03-23T14:53:51+01:00
fission-function,490094592,2021-03-23T14:53:52+01:00
fission-function,475287552,2021-03-23T14:53:53+01:00
fission-function,489201664,2021-03-23T14:53:54+01:00
fission-function,485376000,2021-03-23T14:53:55+01:00
fission-function,485376000,2021-03-23T14:53:56+01:00
fission-function,501997568,2021-03-23T14:53:57+01:00
fission-function,489046016,2021-03-23T14:53:58+01:00
fission-function,489046016,2021-03-23T14:53:59+01:00
fission-function,469581824,2021-03-23T14:54:00+01:00
fission-function,469581824,2021-03-23T14:54:01+01:00
fission-function,473710592,2021-03-23T14:54:02+01:00
fission-function,473710592,2021-03-23T14:54:03+01:00
fission-function,473710592,2021-03-23T14:54:04+01:00
fission-function,473550848,2021-03-23T14:54:05+01:00
fission-function,467898368,2021-03-23T14:54:06+01:00
fission-function,467898368,2021-03-23T14:54:07+01:00
fission-function,467898368,2021-03-23T14:54:08+01:00
fission-function,467898368,2021-03-23T14:54:09+01:00
fission-function,459026432,2021-03-23T14:54:10+01:00
fission-function,462516224,2021-03-23T14:54:11+01:00
fission-function,464506880,2021-03-23T14:54:12+01:00
fission-function,460599296,2021-03-23T14:54:13+01:00
fission-function,472784896,2021-03-23T14:54:14+01:00
fission-function,472784896,2021-03-23T14:54:15+01:00
fission-function,472784896,2021-03-23T14:54:16+01:00
fission-function,479768576,2021-03-23T14:54:17+01:00
fission-function,479768576,2021-03-23T14:54:18+01:00
fission-function,479768576,2021-03-23T14:54:19+01:00
fission-function,479768576,2021-03-23T14:54:20+01:00
fission-function,475721728,2021-03-23T14:54:21+01:00
fission-function,475721728,2021-03-23T14:54:22+01:00
fission-function,475721728,2021-03-23T14:54:23+01:00
fission-function,491823104,2021-03-23T14:54:24+01:00
fission-function,491823104,2021-03-23T14:54:25+01:00
fission-function,483676160,2021-03-23T14:54:26+01:00
fission-function,483676160,2021-03-23T14:54:27+01:00
fission-function,480358400,2021-03-23T14:54:28+01:00
fission-function,480358400,2021-03-23T14:54:29+01:00
fission-function,480358400,2021-03-23T14:54:30+01:00
fission-function,480358400,2021-03-23T14:54:31+01:00
