response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0983,0.0520,0.0142,0.0002,0.0458,0.0002,200,0.1008
0.0988,0.0518,0.0142,0.0002,0.0467,0.0001,200,0.1011
0.1004,0.0520,0.0144,0.0002,0.0480,0.0001,200,0.1008
0.1026,0.0519,0.0143,0.0003,0.0500,0.0001,200,0.1006
0.1036,0.0519,0.0141,0.0003,0.0513,0.0001,200,0.1010
0.1054,0.0518,0.0143,0.0002,0.0530,0.0000,200,0.1008
0.1110,0.0515,0.0137,0.0002,0.0590,0.0001,200,0.1013
0.1113,0.0516,0.0141,0.0002,0.0591,0.0001,200,0.1010
0.1223,0.0517,0.0141,0.0002,0.0700,0.0001,200,0.1009
0.1223,0.0517,0.0142,0.0002,0.0702,0.0001,200,0.1011
0.0401,0.0000,0.0000,0.0001,0.0399,0.0001,200,0.2006
0.0431,0.0000,0.0000,0.0000,0.0429,0.0001,200,0.2011
0.0435,0.0000,0.0000,0.0000,0.0434,0.0001,200,0.2033
0.1374,0.0000,0.0000,0.0000,0.1373,0.0001,200,0.2061
0.1313,0.0000,0.0000,0.0001,0.1311,0.0001,200,0.2123
0.1429,0.0000,0.0000,0.0000,0.1427,0.0001,200,0.2007
0.1316,0.0000,0.0000,0.0000,0.1315,0.0001,200,0.2123
0.1396,0.0000,0.0000,0.0000,0.1395,0.0001,200,0.2046
0.1212,0.0000,0.0000,0.0000,0.1211,0.0001,200,0.2232
0.1212,0.0000,0.0000,0.0000,0.1211,0.0000,200,0.2234
0.0438,0.0000,0.0000,0.0000,0.0437,0.0001,200,0.3008
0.0471,0.0000,0.0000,0.0000,0.0469,0.0000,200,0.3007
0.0509,0.0000,0.0000,0.0000,0.0507,0.0001,200,0.3007
0.0434,0.0000,0.0000,0.0000,0.0432,0.0001,200,0.3442
0.0441,0.0000,0.0000,0.0000,0.0439,0.0001,200,0.3435
0.0472,0.0000,0.0000,0.0001,0.0470,0.0001,200,0.3440
0.0476,0.0000,0.0000,0.0000,0.0474,0.0001,200,0.3436
0.0545,0.0000,0.0000,0.0000,0.0543,0.0001,200,0.3444
0.0566,0.0000,0.0000,0.0000,0.0564,0.0001,200,0.3436
0.0592,0.0000,0.0000,0.0000,0.0590,0.0001,200,0.3446
0.0431,0.0000,0.0000,0.0000,0.0429,0.0001,200,0.4009
0.0452,0.0000,0.0000,0.0000,0.0450,0.0001,200,0.4008
