response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1477,0.0436,0.0000,0.0006,0.1033,0.0002,200,0.1021
0.1471,0.0431,0.0000,0.0009,0.1029,0.0002,200,0.1027
0.1481,0.0441,0.0000,0.0005,0.1032,0.0003,200,0.1018
0.1559,0.0396,0.0000,0.0001,0.1161,0.0001,200,0.1185
0.1559,0.0403,0.0000,0.0002,0.1153,0.0001,200,0.1186
0.1737,0.0432,0.0000,0.0003,0.1301,0.0001,200,0.1027
0.1580,0.0393,0.0000,0.0001,0.1184,0.0001,200,0.1184
0.1797,0.0392,0.0000,0.0002,0.1402,0.0001,200,0.1182
0.1841,0.0396,0.0000,0.0001,0.1443,0.0001,200,0.1183
0.1837,0.0417,0.0000,0.0000,0.1419,0.0000,200,0.1187
0.2041,0.0403,0.0000,0.0001,0.1636,0.0001,200,0.1187
0.2237,0.0546,0.0000,0.0001,0.1689,0.0001,200,0.1030
0.2122,0.0393,0.0000,0.0001,0.1727,0.0001,200,0.1185
0.2189,0.0369,0.0000,0.0002,0.1817,0.0001,200,0.1178
0.2394,0.0440,0.0000,0.0005,0.1946,0.0001,200,0.1015
0.2442,0.0540,0.0000,0.0002,0.1899,0.0001,200,0.1034
0.2332,0.0404,0.0000,0.0001,0.1926,0.0001,200,0.1185
0.2380,0.0394,0.0000,0.0001,0.1983,0.0001,200,0.1183
0.2425,0.0372,0.0000,0.0001,0.2051,0.0001,200,0.1178
0.2461,0.0395,0.0000,0.0001,0.2064,0.0001,200,0.1183
0.2522,0.0369,0.0000,0.0002,0.2150,0.0001,200,0.1178
0.2741,0.0435,0.0000,0.0002,0.2302,0.0001,200,0.1022
0.2755,0.0543,0.0000,0.0001,0.2211,0.0001,200,0.1034
0.2794,0.0558,0.0000,0.0001,0.2234,0.0001,200,0.1019
0.2827,0.0545,0.0000,0.0001,0.2279,0.0001,200,0.1030
0.2873,0.0428,0.0000,0.0001,0.2442,0.0001,200,0.1024
0.2754,0.0393,0.0000,0.0001,0.2358,0.0001,200,0.1185
0.2803,0.0395,0.0000,0.0001,0.2406,0.0001,200,0.1183
0.2993,0.0542,0.0000,0.0002,0.2448,0.0001,200,0.1034
0.2894,0.0403,0.0000,0.0001,0.2489,0.0001,200,0.1187
0.3087,0.0564,0.0000,0.0001,0.2519,0.0001,200,0.1013
0.3130,0.0436,0.0000,0.0005,0.2688,0.0001,200,0.1020
0.3152,0.0429,0.0000,0.0006,0.2716,0.0001,200,0.1029
0.3263,0.0436,0.0000,0.0008,0.2818,0.0001,200,0.1022
0.3301,0.0437,0.0000,0.0005,0.2858,0.0001,200,0.1026
0.3374,0.0429,0.0000,0.0006,0.2937,0.0002,200,0.1026
0.3387,0.0433,0.0000,0.0005,0.2947,0.0001,200,0.1029
0.3435,0.0440,0.0000,0.0006,0.2987,0.0001,200,0.1019
0.3307,0.0370,0.0000,0.0001,0.2935,0.0001,200,0.1178
0.3496,0.0521,0.0000,0.0001,0.2973,0.0001,200,0.1029
0.3559,0.0442,0.0000,0.0003,0.3109,0.0001,200,0.1013
0.3431,0.0372,0.0000,0.0001,0.3057,0.0001,200,0.1178
0.3619,0.0518,0.0000,0.0001,0.3099,0.0001,200,0.1031
0.3511,0.0379,0.0000,0.0001,0.3130,0.0001,200,0.1182
0.3695,0.0516,0.0000,0.0001,0.3177,0.0001,200,0.1032
0.3766,0.0437,0.0000,0.0006,0.3321,0.0001,200,0.1023
0.3796,0.0432,0.0000,0.0002,0.3361,0.0001,200,0.1024
0.3845,0.0430,0.0000,0.0003,0.3411,0.0001,200,0.1031
0.3880,0.0528,0.0000,0.0001,0.3349,0.0001,200,0.1033
0.3925,0.0428,0.0000,0.0002,0.3493,0.0001,200,0.1023
0.3956,0.0427,0.0000,0.0009,0.3518,0.0001,200,0.1029
0.4005,0.0436,0.0000,0.0002,0.3565,0.0001,200,0.1025
0.4046,0.0427,0.0000,0.0010,0.3607,0.0001,200,0.1031
0.4084,0.0434,0.0000,0.0004,0.3644,0.0001,200,0.1023
0.3971,0.0368,0.0000,0.0002,0.3600,0.0001,200,0.1179
0.4005,0.0405,0.0000,0.0001,0.3598,0.0001,200,0.1185
0.4185,0.0430,0.0000,0.0003,0.3750,0.0001,200,0.1031
0.4080,0.0407,0.0000,0.0001,0.3670,0.0001,200,0.1182
0.4289,0.0426,0.0000,0.0001,0.3860,0.0001,200,0.1029
0.4331,0.0436,0.0000,0.0006,0.3888,0.0001,200,0.1021
0.4401,0.0434,0.0000,0.0009,0.3944,0.0001,200,0.1012
0.4398,0.0434,0.0000,0.0002,0.3960,0.0002,200,0.1018
0.4423,0.0424,0.0000,0.0002,0.3995,0.0001,200,0.1031
0.4486,0.0434,0.0000,0.0007,0.4044,0.0001,200,0.1024
0.4526,0.0437,0.0000,0.0009,0.4079,0.0001,200,0.1020
0.4555,0.0438,0.0000,0.0008,0.4107,0.0001,200,0.1020
0.4610,0.0426,0.0000,0.0002,0.4181,0.0001,200,0.1025
0.4658,0.0435,0.0000,0.0002,0.4219,0.0001,200,0.1021
0.3203,0.0000,0.0000,0.0004,0.3187,0.0001,200,0.2499
0.4735,0.0439,0.0000,0.0004,0.4291,0.0001,200,0.1017
0.4796,0.0437,0.0000,0.0003,0.4354,0.0001,200,0.1020
0.4809,0.0434,0.0000,0.0006,0.4368,0.0001,200,0.1023
0.4856,0.0446,0.0000,0.0004,0.4404,0.0001,200,0.1012
0.4878,0.0428,0.0000,0.0004,0.4445,0.0001,200,0.1027
0.4926,0.0440,0.0000,0.0007,0.4478,0.0001,200,0.1017
0.4968,0.0434,0.0000,0.0006,0.4527,0.0001,200,0.1024
0.5023,0.0441,0.0000,0.0009,0.4572,0.0001,200,0.1015
0.3630,0.0000,0.0000,0.0000,0.3628,0.0001,200,0.2498
0.3678,0.0000,0.0000,0.0000,0.3677,0.0001,200,0.2498
0.5240,0.0427,0.0000,0.0004,0.4809,0.0001,200,0.1029
0.5291,0.0436,0.0000,0.0005,0.4849,0.0001,200,0.1026
0.5295,0.0435,0.0000,0.0009,0.4851,0.0001,200,0.1023
0.5326,0.0432,0.0000,0.0010,0.4884,0.0001,200,0.1026
0.5365,0.0426,0.0000,0.0004,0.4933,0.0001,200,0.1030
0.5438,0.0441,0.0000,0.0006,0.4983,0.0001,200,0.1012
0.5285,0.0416,0.0000,0.0001,0.4868,0.0000,200,0.1187
0.5329,0.0417,0.0000,0.0001,0.4910,0.0000,200,0.1186
0.5381,0.0416,0.0000,0.0001,0.4963,0.0001,200,0.1187
0.5568,0.0423,0.0000,0.0004,0.5139,0.0001,200,0.1032
0.5622,0.0445,0.0000,0.0002,0.5170,0.0001,200,0.1012
0.5672,0.0518,0.0000,0.0001,0.5152,0.0001,200,0.1033
0.5528,0.0393,0.0000,0.0003,0.5132,0.0001,200,0.1181
0.5716,0.0432,0.0000,0.0004,0.5279,0.0001,200,0.1030
0.5774,0.0435,0.0000,0.0002,0.5336,0.0001,200,0.1016
0.5799,0.0518,0.0000,0.0002,0.5278,0.0001,200,0.1029
0.3913,0.0000,0.0000,0.0000,0.3911,0.0001,200,0.3024
0.3959,0.0000,0.0000,0.0000,0.3958,0.0001,200,0.2979
0.3964,0.0000,0.0000,0.0000,0.3962,0.0001,200,0.3024
0.3110,0.0000,0.0000,0.0000,0.3109,0.0001,200,0.3897
0.3812,0.0000,0.0000,0.0000,0.3811,0.0001,200,0.3228
0.3806,0.0000,0.0000,0.0000,0.3805,0.0001,200,0.3267
0.3807,0.0000,0.0000,0.0000,0.3805,0.0001,200,0.3307
0.3800,0.0000,0.0000,0.0000,0.3798,0.0001,200,0.3367
0.3793,0.0000,0.0000,0.0000,0.3791,0.0001,200,0.3409
0.3371,0.0000,0.0000,0.0000,0.3369,0.0001,200,0.3857
0.3797,0.0000,0.0000,0.0000,0.3795,0.0001,200,0.3476
0.3790,0.0000,0.0000,0.0000,0.3789,0.0001,200,0.3517
0.3898,0.0000,0.0000,0.0000,0.3896,0.0001,200,0.3563
0.3858,0.0000,0.0000,0.0000,0.3857,0.0001,200,0.3604
0.3844,0.0000,0.0000,0.0000,0.3843,0.0001,200,0.3643
0.3823,0.0000,0.0000,0.0001,0.3821,0.0001,200,0.3700
0.3757,0.0000,0.0000,0.0000,0.3756,0.0001,200,0.3789
0.3827,0.0000,0.0000,0.0000,0.3825,0.0001,200,0.3764
0.3804,0.0000,0.0000,0.0000,0.3803,0.0001,200,0.3813
0.1852,0.0000,0.0000,0.0000,0.1850,0.0001,200,0.5832
0.3784,0.0000,0.0000,0.0000,0.3783,0.0001,200,0.3939
0.3762,0.0000,0.0000,0.0000,0.3760,0.0001,200,0.3985
0.3758,0.0000,0.0000,0.0000,0.3756,0.0001,200,0.4027
0.3737,0.0000,0.0000,0.0000,0.3736,0.0001,200,0.4081
0.3757,0.0000,0.0000,0.0000,0.3755,0.0001,200,0.4100
0.3764,0.0000,0.0000,0.0000,0.3762,0.0001,200,0.4151
0.3762,0.0000,0.0000,0.0000,0.3760,0.0001,200,0.4181
0.2225,0.0000,0.0000,0.0000,0.2224,0.0001,200,0.5753
0.3723,0.0000,0.0000,0.0000,0.3722,0.0001,200,0.4286
0.3716,0.0000,0.0000,0.0000,0.3715,0.0001,200,0.4327
0.3688,0.0000,0.0000,0.0001,0.3686,0.0001,200,0.4415
0.3748,0.0000,0.0000,0.0001,0.3746,0.0001,200,0.4400
0.3736,0.0000,0.0000,0.0000,0.3734,0.0001,200,0.4454
0.3734,0.0000,0.0000,0.0001,0.3732,0.0001,200,0.4485
0.3731,0.0000,0.0000,0.0000,0.3730,0.0001,200,0.4525
0.3735,0.0000,0.0000,0.0001,0.3733,0.0001,200,0.4572
0.3716,0.0000,0.0000,0.0000,0.3715,0.0001,200,0.4609
0.3833,0.0000,0.0000,0.0001,0.3831,0.0001,200,0.4651
0.3793,0.0000,0.0000,0.0000,0.3791,0.0001,200,0.4692
0.3762,0.0000,0.0000,0.0000,0.3760,0.0001,200,0.4727
0.3687,0.0000,0.0000,0.0000,0.3685,0.0001,200,0.4820
0.3745,0.0000,0.0000,0.0000,0.3743,0.0001,200,0.4790
0.3698,0.0000,0.0000,0.0000,0.3697,0.0001,200,0.4876
0.3585,0.0000,0.0000,0.0000,0.3584,0.0001,200,0.5029
0.3704,0.0000,0.0000,0.0000,0.3702,0.0001,200,0.4948
0.3771,0.0000,0.0000,0.0000,0.3769,0.0001,200,0.4913
0.3741,0.0000,0.0000,0.0001,0.3739,0.0001,200,0.4985
0.3656,0.0000,0.0000,0.0000,0.3654,0.0001,200,0.5107
0.3726,0.0000,0.0000,0.0000,0.3724,0.0001,200,0.5077
0.3712,0.0000,0.0000,0.0000,0.3710,0.0001,200,0.5150
0.3697,0.0000,0.0000,0.0000,0.3696,0.0001,200,0.5190
0.3704,0.0000,0.0000,0.0001,0.3702,0.0001,200,0.5217
0.3697,0.0000,0.0000,0.0000,0.3695,0.0001,200,0.5262
0.3633,0.0000,0.0000,0.0001,0.3632,0.0001,200,0.5352
0.3704,0.0000,0.0000,0.0001,0.3702,0.0001,200,0.5318
0.3662,0.0000,0.0000,0.0000,0.3660,0.0001,200,0.5413
0.3714,0.0000,0.0000,0.0000,0.3712,0.0001,200,0.5416
0.3694,0.0000,0.0000,0.0000,0.3692,0.0001,200,0.5454
0.3693,0.0000,0.0000,0.0000,0.3691,0.0001,200,0.5510
0.3671,0.0000,0.0000,0.0000,0.3669,0.0001,200,0.5547
0.3690,0.0000,0.0000,0.0000,0.3689,0.0001,200,0.5575
0.3672,0.0000,0.0000,0.0000,0.3670,0.0001,200,0.5635
0.3645,0.0000,0.0000,0.0000,0.3643,0.0001,200,0.5703
0.3701,0.0000,0.0000,0.0000,0.3699,0.0001,200,0.5679
0.3599,0.0000,0.0000,0.0000,0.3597,0.0001,200,0.5816
0.3578,0.0000,0.0000,0.0000,0.3576,0.0001,200,0.5868
0.3626,0.0000,0.0000,0.0000,0.3625,0.0001,200,0.5943
0.3684,0.0000,0.0000,0.0000,0.3682,0.0001,200,0.5906
0.3649,0.0000,0.0000,0.0000,0.3647,0.0001,200,0.5992
0.3523,0.0000,0.0000,0.0000,0.3521,0.0001,200,0.6128
0.3628,0.0000,0.0000,0.0000,0.3626,0.0001,200,0.6037
0.3497,0.0000,0.0000,0.0000,0.3495,0.0001,200,0.6177
0.3398,0.0000,0.0000,0.0000,0.3397,0.0001,200,0.6318
0.3487,0.0000,0.0000,0.0000,0.3485,0.0001,200,0.6269
0.3483,0.0000,0.0000,0.0000,0.3481,0.0001,200,0.6317
0.3482,0.0000,0.0000,0.0000,0.3481,0.0001,200,0.6352
0.3474,0.0000,0.0000,0.0000,0.3473,0.0001,200,0.6395
0.8869,0.0425,0.0000,0.0001,0.8442,0.0001,200,0.1030
0.8925,0.0445,0.0000,0.0004,0.8473,0.0001,200,0.1013
0.8970,0.0442,0.0000,0.0006,0.8521,0.0001,200,0.1019
0.9006,0.0443,0.0000,0.0007,0.8554,0.0001,200,0.1017
0.9022,0.0432,0.0000,0.0005,0.8584,0.0001,200,0.1028
0.8906,0.0369,0.0000,0.0002,0.8533,0.0001,200,0.1178
0.8950,0.0394,0.0000,0.0000,0.8554,0.0001,200,0.1183
0.9145,0.0444,0.0000,0.0005,0.8695,0.0001,200,0.1012
0.7450,0.0000,0.0000,0.0000,0.7448,0.0001,200,0.2764
0.7553,0.0000,0.0000,0.0000,0.7552,0.0001,200,0.2745
0.7554,0.0000,0.0000,0.0000,0.7553,0.0001,200,0.2744
0.7559,0.0000,0.0000,0.0000,0.7558,0.0001,200,0.2764
0.3845,0.0000,0.0000,0.0000,0.3844,0.0001,200,0.6515
0.3932,0.0000,0.0000,0.0000,0.3931,0.0001,200,0.6473
0.3851,0.0000,0.0000,0.0000,0.3850,0.0001,200,0.6599
0.3852,0.0000,0.0000,0.0000,0.3850,0.0001,200,0.6633
0.3869,0.0000,0.0000,0.0000,0.3867,0.0001,200,0.6705
0.3866,0.0000,0.0000,0.0000,0.3865,0.0001,200,0.6710
0.3859,0.0000,0.0000,0.0000,0.3857,0.0001,200,0.6746
0.3836,0.0000,0.0000,0.0000,0.3835,0.0001,200,0.6790
0.3862,0.0000,0.0000,0.0000,0.3860,0.0001,200,0.6829
0.3685,0.0000,0.0000,0.0000,0.3684,0.0001,200,0.7040
0.3773,0.0000,0.0000,0.0000,0.3772,0.0001,200,0.6987
0.3858,0.0000,0.0000,0.0000,0.3856,0.0001,200,0.6938
0.3893,0.0000,0.0000,0.0000,0.3891,0.0001,200,0.6937
0.3857,0.0000,0.0000,0.0000,0.3856,0.0001,200,0.7007
0.3854,0.0000,0.0000,0.0000,0.3852,0.0001,200,0.7073
0.3744,0.0000,0.0000,0.0000,0.3743,0.0001,200,0.7228
0.3837,0.0000,0.0000,0.0000,0.3835,0.0001,200,0.7167
0.3832,0.0000,0.0000,0.0000,0.3830,0.0001,200,0.7201
0.3803,0.0000,0.0000,0.0000,0.3801,0.0001,200,0.7273
0.3808,0.0000,0.0000,0.0000,0.3806,0.0001,200,0.7307
0.3634,0.0000,0.0000,0.0000,0.3632,0.0001,200,0.7546
0.3741,0.0000,0.0000,0.0000,0.3738,0.0001,200,0.7462
0.3781,0.0000,0.0000,0.0000,0.3780,0.0001,200,0.7461
0.3784,0.0000,0.0000,0.0000,0.3782,0.0001,200,0.7488
0.3818,0.0000,0.0000,0.0000,0.3816,0.0001,200,0.7523
0.3742,0.0000,0.0000,0.0000,0.3740,0.0001,200,0.7617
0.3829,0.0000,0.0000,0.0000,0.3828,0.0001,200,0.7591
0.3704,0.0000,0.0000,0.0000,0.3703,0.0001,200,0.7747
0.3801,0.0000,0.0000,0.0000,0.3799,0.0001,200,0.7684
0.3796,0.0000,0.0000,0.0000,0.3794,0.0001,200,0.7723
0.3779,0.0000,0.0000,0.0000,0.3778,0.0001,200,0.7784
0.3785,0.0000,0.0000,0.0000,0.3783,0.0001,200,0.7818
0.3796,0.0000,0.0000,0.0000,0.3794,0.0001,200,0.7857
0.3712,0.0000,0.0000,0.0000,0.3710,0.0001,200,0.7978
0.3805,0.0000,0.0000,0.0001,0.3804,0.0001,200,0.7915
0.3821,0.0000,0.0000,0.0000,0.3819,0.0001,200,0.7943
0.3793,0.0000,0.0000,0.0000,0.3791,0.0001,200,0.8009
0.3801,0.0000,0.0000,0.0000,0.3800,0.0001,200,0.8044
0.3668,0.0000,0.0000,0.0001,0.3666,0.0001,200,0.8220
0.3860,0.0000,0.0000,0.0000,0.3858,0.0001,200,0.8104
0.3847,0.0000,0.0000,0.0000,0.3845,0.0001,200,0.8149
0.3876,0.0000,0.0000,0.0001,0.3874,0.0001,200,0.8190
0.3817,0.0000,0.0000,0.0000,0.3816,0.0001,200,0.8257
0.3806,0.0000,0.0000,0.0000,0.3805,0.0001,200,0.8325
0.3854,0.0000,0.0000,0.0000,0.3852,0.0001,200,0.8307
0.3448,0.0000,0.0000,0.0001,0.3446,0.0001,200,0.8726
0.3676,0.0000,0.0000,0.0000,0.3674,0.0001,200,0.8535
0.3771,0.0000,0.0000,0.0001,0.3769,0.0001,200,0.8484
0.3804,0.0000,0.0000,0.0001,0.3802,0.0000,200,0.8485
0.3825,0.0000,0.0000,0.0000,0.3823,0.0001,200,0.8507
0.3905,0.0000,0.0000,0.0000,0.3903,0.0001,200,0.8489
0.3865,0.0000,0.0000,0.0001,0.3864,0.0001,200,0.8574
0.4035,0.0000,0.0000,0.0001,0.4033,0.0001,200,0.8615
0.4000,0.0000,0.0000,0.0001,0.3998,0.0001,200,0.8651
0.3978,0.0000,0.0000,0.0000,0.3976,0.0001,200,0.8683
