response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1401,0.0382,0.0000,0.0002,0.1014,0.0002,200,0.0005
0.1074,0.0000,0.0000,0.0001,0.1069,0.0003,200,0.1406
0.0649,0.0000,0.0000,0.0001,0.0644,0.0002,200,0.2480
0.0674,0.0000,0.0000,0.0001,0.0671,0.0001,200,0.3128
0.0692,0.0000,0.0000,0.0001,0.0690,0.0001,200,0.3802
0.0677,0.0000,0.0000,0.0001,0.0675,0.0001,200,0.4494
0.0631,0.0000,0.0000,0.0001,0.0628,0.0001,200,0.5171
0.0614,0.0000,0.0000,0.0001,0.0612,0.0001,200,0.5802
0.0562,0.0000,0.0000,0.0001,0.0560,0.0001,200,0.6416
0.0615,0.0000,0.0000,0.0000,0.0613,0.0001,200,0.6978
0.0605,0.0000,0.0000,0.0000,0.0603,0.0001,200,0.7593
0.1773,0.0000,0.0000,0.0001,0.1770,0.0001,200,0.8198
0.3954,0.0000,0.0000,0.0001,0.3952,0.0002,200,0.9971
0.5197,0.0000,0.0000,0.0001,0.5194,0.0002,200,1.3926
0.7176,0.0000,0.0000,0.0001,0.7173,0.0001,200,1.9123
0.4087,0.0000,0.0000,0.0001,0.4084,0.0002,200,2.6299
0.4092,0.0000,0.0000,0.0001,0.4089,0.0001,200,3.0386
0.4096,0.0000,0.0000,0.0001,0.4093,0.0001,200,3.4478
0.6894,0.0000,0.0000,0.0001,0.6891,0.0001,200,3.8574
0.5396,0.0000,0.0000,0.0001,0.5393,0.0001,200,4.5468
0.3105,0.0000,0.0000,0.0001,0.3102,0.0001,200,5.0864
0.2015,0.0000,0.0000,0.0001,0.2012,0.0002,200,5.3968
0.5119,0.0000,0.0000,0.0001,0.5116,0.0002,200,5.5983
0.3070,0.0000,0.0000,0.0001,0.3067,0.0002,200,6.1103
0.6161,0.0000,0.0000,0.0001,0.6158,0.0001,200,6.4173
0.6136,0.0000,0.0000,0.0001,0.6133,0.0002,200,7.0334
0.8184,0.0000,0.0000,0.0001,0.8181,0.0001,200,7.6471
0.4100,0.0000,0.0000,0.0001,0.4097,0.0001,200,8.4655
0.6141,0.0000,0.0000,0.0001,0.6138,0.0002,200,8.8755
0.4099,0.0000,0.0000,0.0001,0.4096,0.0001,200,9.4896
0.3108,0.0000,0.0000,0.0001,0.3105,0.0001,200,9.8994
0.4060,0.0000,0.0000,0.0001,0.4057,0.0001,200,10.2102
0.4094,0.0000,0.0000,0.0001,0.4091,0.0001,200,10.6162
0.3670,0.0000,0.0000,0.0001,0.3667,0.0002,200,11.0256
0.4937,0.0000,0.0000,0.0001,0.4934,0.0001,200,11.3926
0.3684,0.0000,0.0000,0.0001,0.3681,0.0001,200,11.8863
0.4096,0.0000,0.0000,0.0001,0.4093,0.0002,200,12.2547
0.4095,0.0000,0.0000,0.0001,0.4093,0.0001,200,12.6643
0.8190,0.0000,0.0000,0.0001,0.8187,0.0001,200,13.0738
0.9458,0.0000,0.0000,0.0001,0.9455,0.0001,200,13.8928
0.3659,0.0000,0.0000,0.0001,0.3656,0.0001,200,14.8386
0.4291,0.0000,0.0000,0.0001,0.4289,0.0001,200,15.2045
0.2048,0.0000,0.0000,0.0001,0.2045,0.0001,200,15.6336
0.3685,0.0000,0.0000,0.0001,0.3682,0.0002,200,15.8384
0.6558,0.0000,0.0000,0.0001,0.6555,0.0001,200,16.2069
0.3452,0.0000,0.0000,0.0001,0.3449,0.0001,200,16.8627
