namespace,value,timestamp
fission-function,69586944,2021-03-25T14:42:28+01:00
fission-function,69586944,2021-03-25T14:42:29+01:00
fission-function,69586944,2021-03-25T14:42:30+01:00
fission-function,69586944,2021-03-25T14:42:31+01:00
fission-function,69586944,2021-03-25T14:42:32+01:00
fission-function,69586944,2021-03-25T14:42:33+01:00
fission-function,69586944,2021-03-25T14:42:34+01:00
fission-function,69586944,2021-03-25T14:42:35+01:00
fission-function,69586944,2021-03-25T14:42:36+01:00
fission-function,69586944,2021-03-25T14:42:37+01:00
fission-function,69586944,2021-03-25T14:42:38+01:00
fission-function,69586944,2021-03-25T14:42:39+01:00
fission-function,69586944,2021-03-25T14:42:40+01:00
fission-function,69586944,2021-03-25T14:42:41+01:00
fission-function,69586944,2021-03-25T14:42:42+01:00
fission-function,69586944,2021-03-25T14:42:43+01:00
fission-function,69586944,2021-03-25T14:42:44+01:00
fission-function,69586944,2021-03-25T14:42:45+01:00
fission-function,69586944,2021-03-25T14:42:46+01:00
fission-function,69586944,2021-03-25T14:42:47+01:00
fission-function,69586944,2021-03-25T14:42:48+01:00
fission-function,42926080,2021-03-25T14:42:49+01:00
fission-function,42926080,2021-03-25T14:42:50+01:00
fission-function,42926080,2021-03-25T14:42:51+01:00
fission-function,42926080,2021-03-25T14:42:52+01:00
fission-function,42926080,2021-03-25T14:42:53+01:00
fission-function,42926080,2021-03-25T14:42:54+01:00
fission-function,42926080,2021-03-25T14:42:55+01:00
fission-function,42926080,2021-03-25T14:42:56+01:00
fission-function,42926080,2021-03-25T14:42:57+01:00
fission-function,42926080,2021-03-25T14:42:58+01:00
fission-function,42926080,2021-03-25T14:42:59+01:00
fission-function,42926080,2021-03-25T14:43:00+01:00
fission-function,42926080,2021-03-25T14:43:01+01:00
fission-function,42926080,2021-03-25T14:43:02+01:00
fission-function,42926080,2021-03-25T14:43:03+01:00
fission-function,42926080,2021-03-25T14:43:04+01:00
fission-function,42926080,2021-03-25T14:43:05+01:00
fission-function,42926080,2021-03-25T14:43:06+01:00
fission-function,70688768,2021-03-25T14:43:07+01:00
fission-function,70688768,2021-03-25T14:43:08+01:00
