response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3264,0.0386,0.0000,0.0004,0.2871,0.0001,200,0.0005
0.1832,0.0000,0.0000,0.0000,0.1829,0.0002,200,0.3269
0.2266,0.0000,0.0000,0.0001,0.2263,0.0001,200,0.5101
0.2045,0.0000,0.0000,0.0000,0.2043,0.0001,200,0.7366
0.2047,0.0000,0.0000,0.0000,0.2045,0.0001,200,0.9411
0.2421,0.0000,0.0000,0.0001,0.2419,0.0001,200,1.1459
0.2702,0.0000,0.0000,0.0001,0.2699,0.0001,200,1.3880
0.2989,0.0000,0.0000,0.0001,0.2987,0.0001,200,1.6582
0.1733,0.0000,0.0000,0.0001,0.1730,0.0001,200,1.9571
0.2446,0.0000,0.0000,0.0001,0.2443,0.0001,200,2.1305
0.3093,0.0000,0.0000,0.0001,0.3090,0.0001,200,2.3751
0.4076,0.0000,0.0000,0.0001,0.4072,0.0002,200,2.6843
0.1676,0.0000,0.0000,0.0001,0.1673,0.0001,200,3.0919
0.2417,0.0000,0.0000,0.0001,0.2414,0.0002,200,3.2595
0.3563,0.0000,0.0000,0.0001,0.3560,0.0001,200,3.5013
0.2582,0.0000,0.0000,0.0001,0.2579,0.0001,200,3.8576
1.1263,0.0000,0.0000,0.0001,1.1260,0.0001,200,4.1157
0.3091,0.0000,0.0000,0.0001,0.3088,0.0001,200,5.2421
0.2901,0.0000,0.0000,0.0001,0.2897,0.0001,200,5.5512
0.3223,0.0000,0.0000,0.0001,0.3220,0.0001,200,5.8413
0.5123,0.0000,0.0000,0.0001,0.5120,0.0002,200,6.1636
0.5951,0.0000,0.0000,0.0001,0.5948,0.0001,200,6.6759
0.2238,0.0000,0.0000,0.0000,0.2236,0.0001,200,7.2711
0.8194,0.0000,0.0000,0.0001,0.8191,0.0001,200,7.4948
0.3071,0.0000,0.0000,0.0001,0.3068,0.0001,200,8.3142
0.4099,0.0000,0.0000,0.0001,0.4096,0.0002,200,8.6214
0.3985,0.0000,0.0000,0.0001,0.3982,0.0001,200,9.0313
0.4207,0.0000,0.0000,0.0001,0.4204,0.0001,200,9.4298
0.4096,0.0000,0.0000,0.0001,0.4092,0.0002,200,9.8504
0.4182,0.0000,0.0000,0.0001,0.4179,0.0002,200,10.2600
0.5339,0.0000,0.0000,0.0001,0.5336,0.0001,200,10.6783
