response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
5.1863,0.0698,0.0198,0.0002,5.1157,0.0002,200,0.0006
2.8687,0.0000,0.0000,0.0001,2.8681,0.0004,200,5.1869
2.9685,0.0000,0.0000,0.0001,2.9681,0.0002,200,8.0556
2.9965,0.0000,0.0000,0.0001,2.9963,0.0001,200,11.0241
3.3059,0.0000,0.0000,0.0001,3.3056,0.0001,200,14.0206
2.9140,0.0000,0.0000,0.0001,2.9138,0.0002,200,17.3265
3.1179,0.0000,0.0000,0.0001,3.1177,0.0001,200,20.2405
3.0254,0.0000,0.0000,0.0001,3.0251,0.0001,200,23.3584
2.8057,0.0000,0.0000,0.0001,2.8054,0.0001,200,26.3838
4.6583,0.0000,0.0000,0.0001,4.6581,0.0001,200,29.1895
3.2900,0.0000,0.0000,0.0001,3.2896,0.0002,200,33.8479
3.1744,0.0000,0.0000,0.0001,3.1741,0.0001,200,37.1379
2.8675,0.0000,0.0000,0.0001,2.8672,0.0001,200,40.3123
3.1753,0.0000,0.0000,0.0001,3.1751,0.0001,200,43.1797
2.7297,0.0000,0.0000,0.0001,2.7294,0.0002,200,46.3551
2.7633,0.0000,0.0000,0.0001,2.7631,0.0001,200,49.0848
3.0049,0.0000,0.0000,0.0001,3.0046,0.0002,200,51.8481
3.0725,0.0000,0.0000,0.0001,3.0721,0.0001,200,54.8531
3.1446,0.0000,0.0000,0.0001,3.1443,0.0001,200,57.9255
4.5352,0.0000,0.0000,0.0001,4.5349,0.0001,200,61.0701
3.2853,0.0000,0.0000,0.0001,3.2851,0.0001,200,65.6053
2.9611,0.0000,0.0000,0.0001,2.9608,0.0002,200,68.8907
3.1747,0.0000,0.0000,0.0001,3.1744,0.0001,200,71.8518
3.5397,0.0000,0.0000,0.0001,3.5394,0.0002,200,75.0265
3.0964,0.0000,0.0000,0.0001,3.0961,0.0001,200,78.5662
3.0146,0.0000,0.0000,0.0000,3.0144,0.0002,200,81.6626
3.0467,0.0000,0.0000,0.0001,3.0463,0.0001,200,84.6772
3.4820,0.0000,0.0000,0.0001,3.4817,0.0001,200,87.7239
0.0385,0.0000,0.0000,0.0001,0.0383,0.0001,502,91.2058
0.2442,0.0000,0.0000,0.0001,0.2439,0.0002,502,91.2444
0.0384,0.0000,0.0000,0.0001,0.0381,0.0002,502,91.4886
0.0395,0.0000,0.0000,0.0001,0.0391,0.0002,502,91.5270
0.0386,0.0000,0.0000,0.0001,0.0384,0.0001,502,91.5665
0.0382,0.0000,0.0000,0.0001,0.0379,0.0002,502,91.6051
0.0386,0.0000,0.0000,0.0001,0.0383,0.0002,502,91.6434
0.0385,0.0000,0.0000,0.0001,0.0381,0.0002,502,91.6820
0.0391,0.0000,0.0000,0.0001,0.0389,0.0001,502,91.7204
0.0382,0.0000,0.0000,0.0001,0.0379,0.0001,502,91.7596
0.0395,0.0000,0.0000,0.0001,0.0393,0.0001,502,91.7977
0.0391,0.0000,0.0000,0.0001,0.0388,0.0001,502,91.8372
0.0403,0.0000,0.0000,0.0001,0.0400,0.0002,502,91.8764
0.0385,0.0000,0.0000,0.0001,0.0382,0.0001,502,91.9166
0.0386,0.0000,0.0000,0.0001,0.0383,0.0001,502,91.9551
0.0393,0.0000,0.0000,0.0001,0.0390,0.0002,502,91.9937
0.0384,0.0000,0.0000,0.0001,0.0380,0.0002,502,92.0330
0.0385,0.0000,0.0000,0.0001,0.0382,0.0001,502,92.0714
0.0386,0.0000,0.0000,0.0001,0.0383,0.0001,502,92.1098
0.0394,0.0000,0.0000,0.0001,0.0391,0.0002,502,92.1485
0.0422,0.0000,0.0000,0.0001,0.0419,0.0001,502,92.1879
0.0418,0.0000,0.0000,0.0001,0.0415,0.0001,502,92.2301
0.0409,0.0000,0.0000,0.0001,0.0405,0.0003,502,92.2720
0.0385,0.0000,0.0000,0.0001,0.0381,0.0001,502,92.3129
0.0387,0.0000,0.0000,0.0001,0.0385,0.0001,502,92.3514
0.0380,0.0000,0.0000,0.0000,0.0378,0.0001,502,92.3901
0.0386,0.0000,0.0000,0.0001,0.0383,0.0001,502,92.4281
0.0390,0.0000,0.0000,0.0001,0.0387,0.0001,502,92.4667
0.0408,0.0000,0.0000,0.0001,0.0405,0.0002,502,92.5057
0.0391,0.0000,0.0000,0.0001,0.0388,0.0001,502,92.5465
0.0390,0.0000,0.0000,0.0001,0.0387,0.0001,502,92.5856
0.0393,0.0000,0.0000,0.0001,0.0391,0.0001,502,92.6245
0.0391,0.0000,0.0000,0.0001,0.0388,0.0001,502,92.6639
0.0388,0.0000,0.0000,0.0001,0.0385,0.0001,502,92.7030
0.0389,0.0000,0.0000,0.0001,0.0386,0.0001,502,92.7418
0.0390,0.0000,0.0000,0.0001,0.0387,0.0001,502,92.7807
0.0384,0.0000,0.0000,0.0002,0.0380,0.0001,502,92.8196
0.0392,0.0000,0.0000,0.0001,0.0388,0.0002,502,92.8580
0.0389,0.0000,0.0000,0.0001,0.0387,0.0001,502,92.8972
0.0385,0.0000,0.0000,0.0001,0.0382,0.0001,502,92.9361
0.0388,0.0000,0.0000,0.0001,0.0384,0.0002,502,92.9746
0.0389,0.0000,0.0000,0.0001,0.0385,0.0002,502,93.0134
0.0389,0.0000,0.0000,0.0001,0.0386,0.0002,502,93.0523
0.0384,0.0000,0.0000,0.0001,0.0382,0.0001,502,93.0913
0.0385,0.0000,0.0000,0.0001,0.0382,0.0002,502,93.1297
0.0935,0.0000,0.0000,0.0001,0.0933,0.0001,502,93.1682
2.8640,0.0000,0.0000,0.0001,2.8637,0.0001,200,93.2617
3.4261,0.0000,0.0000,0.0001,3.4258,0.0002,200,96.1257
2.9394,0.0000,0.0000,0.0001,2.9390,0.0002,200,99.5518
3.1546,0.0000,0.0000,0.0001,3.1541,0.0002,200,102.4912
3.1740,0.0000,0.0000,0.0001,3.1737,0.0002,200,105.6459
3.3795,0.0000,0.0000,0.0001,3.3791,0.0002,200,108.8199
3.4811,0.0000,0.0000,0.0001,3.4808,0.0002,200,112.1994
3.2776,0.0000,0.0000,0.0001,3.2773,0.0002,200,115.6805
5.1629,0.0000,0.0000,0.0001,5.1626,0.0001,200,118.9582
3.3371,0.0000,0.0000,0.0001,3.3368,0.0002,200,124.1211
3.5330,0.0000,0.0000,0.0001,3.5326,0.0002,200,127.4582
3.1235,0.0000,0.0000,0.0001,3.1232,0.0002,200,130.9911
2.9526,0.0000,0.0000,0.0001,2.9523,0.0002,200,134.1147
2.9863,0.0000,0.0000,0.0001,2.9860,0.0002,200,137.0673
3.1927,0.0000,0.0000,0.0001,3.1924,0.0002,200,140.0536
2.8488,0.0000,0.0000,0.0001,2.8486,0.0001,200,143.2463
2.7433,0.0000,0.0000,0.0001,2.7430,0.0001,200,146.0951
4.3040,0.0000,0.0000,0.0001,4.3037,0.0002,200,148.8384
3.1931,0.0000,0.0000,0.0001,3.1928,0.0002,200,153.1424
3.3663,0.0000,0.0000,0.0001,3.3658,0.0001,200,156.3355
3.4360,0.0000,0.0000,0.0001,3.4358,0.0001,200,159.7018
2.8350,0.0000,0.0000,0.0001,2.8346,0.0002,200,163.1379
3.0911,0.0000,0.0000,0.0001,3.0908,0.0001,200,165.9729
2.9945,0.0000,0.0000,0.0001,2.9942,0.0002,200,169.0640
3.4253,0.0000,0.0000,0.0001,3.4250,0.0001,200,172.0585
2.8675,0.0000,0.0000,0.0001,2.8672,0.0002,200,175.4839
