response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1014,0.0572,0.0178,0.0002,0.0436,0.0002,200,0.0006
0.0423,0.0000,0.0000,0.0001,0.0420,0.0001,200,0.1020
0.0452,0.0000,0.0000,0.0000,0.0450,0.0002,200,0.1443
0.0451,0.0000,0.0000,0.0001,0.0448,0.0001,200,0.1895
0.0428,0.0000,0.0000,0.0001,0.0426,0.0001,200,0.2346
0.0433,0.0000,0.0000,0.0001,0.0431,0.0002,200,0.2774
0.0456,0.0000,0.0000,0.0001,0.0453,0.0001,200,0.3208
0.0427,0.0000,0.0000,0.0001,0.0424,0.0001,200,0.3663
0.0433,0.0000,0.0000,0.0001,0.0429,0.0002,200,0.4091
0.0446,0.0000,0.0000,0.0001,0.0443,0.0002,200,0.4523
0.0449,0.0000,0.0000,0.0001,0.0446,0.0001,200,0.4969
0.0423,0.0000,0.0000,0.0001,0.0419,0.0002,200,0.5418
0.0456,0.0000,0.0000,0.0001,0.0453,0.0001,200,0.5840
0.0436,0.0000,0.0000,0.0001,0.0434,0.0001,200,0.6296
0.0417,0.0000,0.0000,0.0000,0.0415,0.0001,200,0.6732
0.0440,0.0000,0.0000,0.0000,0.0438,0.0001,200,0.7148
0.0450,0.0000,0.0000,0.0001,0.0447,0.0002,200,0.7588
0.0426,0.0000,0.0000,0.0001,0.0424,0.0001,200,0.8038
0.0433,0.0000,0.0000,0.0001,0.0430,0.0002,200,0.8464
0.0464,0.0000,0.0000,0.0001,0.0462,0.0001,200,0.8898
0.0438,0.0000,0.0000,0.0001,0.0435,0.0001,200,0.9362
0.0649,0.0000,0.0000,0.0001,0.0647,0.0001,200,0.9800
0.0523,0.0000,0.0000,0.0001,0.0519,0.0001,200,1.0449
0.0434,0.0000,0.0000,0.0001,0.0430,0.0002,200,1.0972
0.0435,0.0000,0.0000,0.0001,0.0432,0.0002,200,1.1406
0.0508,0.0000,0.0000,0.0001,0.0504,0.0002,200,1.1840
0.0487,0.0000,0.0000,0.0001,0.0483,0.0002,200,1.2348
0.0414,0.0000,0.0000,0.0001,0.0411,0.0002,200,1.2835
0.0444,0.0000,0.0000,0.0001,0.0441,0.0001,200,1.3249
0.0413,0.0000,0.0000,0.0001,0.0411,0.0001,200,1.3693
0.0444,0.0000,0.0000,0.0001,0.0442,0.0001,200,1.4106
0.0834,0.0000,0.0000,0.0001,0.0832,0.0001,200,1.4551
0.0742,0.0000,0.0000,0.0001,0.0740,0.0001,200,1.5385
0.0429,0.0000,0.0000,0.0001,0.0426,0.0001,200,1.6128
0.0429,0.0000,0.0000,0.0001,0.0426,0.0001,200,1.6557
0.0426,0.0000,0.0000,0.0001,0.0423,0.0001,200,1.6986
0.0428,0.0000,0.0000,0.0001,0.0425,0.0002,200,1.7412
0.0446,0.0000,0.0000,0.0001,0.0444,0.0001,200,1.7840
0.0424,0.0000,0.0000,0.0001,0.0422,0.0001,200,1.8286
0.0446,0.0000,0.0000,0.0001,0.0443,0.0001,200,1.8711
0.0410,0.0000,0.0000,0.0001,0.0408,0.0002,200,1.9157
0.0417,0.0000,0.0000,0.0001,0.0414,0.0001,200,1.9567
0.0420,0.0000,0.0000,0.0001,0.0416,0.0002,200,1.9984
0.0432,0.0000,0.0000,0.0001,0.0429,0.0001,200,2.0404
0.0446,0.0000,0.0000,0.0001,0.0443,0.0002,200,2.0836
0.0432,0.0000,0.0000,0.0001,0.0428,0.0001,200,2.1282
0.0431,0.0000,0.0000,0.0001,0.0428,0.0001,200,2.1713
0.0420,0.0000,0.0000,0.0001,0.0417,0.0001,200,2.2145
0.0456,0.0000,0.0000,0.0001,0.0453,0.0001,200,2.2565
0.0438,0.0000,0.0000,0.0001,0.0436,0.0001,200,2.3021
0.0409,0.0000,0.0000,0.0001,0.0405,0.0002,200,2.3459
0.0413,0.0000,0.0000,0.0001,0.0410,0.0001,200,2.3868
0.0436,0.0000,0.0000,0.0001,0.0433,0.0001,200,2.4281
0.0433,0.0000,0.0000,0.0001,0.0430,0.0001,200,2.4716
0.0435,0.0000,0.0000,0.0001,0.0432,0.0001,200,2.5149
0.0416,0.0000,0.0000,0.0001,0.0412,0.0002,200,2.5585
