response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3122,0.0398,0.0000,0.0002,0.2719,0.0001,200,0.0003
0.2050,0.0000,0.0000,0.0001,0.2048,0.0001,200,0.3126
0.3066,0.0000,0.0000,0.0000,0.3064,0.0001,200,0.5176
0.3074,0.0000,0.0000,0.0000,0.3072,0.0001,200,0.8242
0.2042,0.0000,0.0000,0.0000,0.2040,0.0001,200,1.1316
0.2056,0.0000,0.0000,0.0000,0.2054,0.0001,200,1.3358
0.1544,0.0000,0.0000,0.0000,0.1542,0.0001,200,1.5414
0.1932,0.0000,0.0000,0.0000,0.1930,0.0001,200,1.6957
0.1642,0.0000,0.0000,0.0001,0.1640,0.0001,200,1.8889
0.2052,0.0000,0.0000,0.0000,0.2050,0.0001,200,2.0531
0.2041,0.0000,0.0000,0.0000,0.2039,0.0001,200,2.2583
0.1702,0.0000,0.0000,0.0001,0.1699,0.0001,200,2.4624
0.2402,0.0000,0.0000,0.0001,0.2400,0.0001,200,2.6326
0.1951,0.0000,0.0000,0.0000,0.1949,0.0001,200,2.8728
0.1640,0.0000,0.0000,0.0001,0.1638,0.0001,200,3.0680
0.2554,0.0000,0.0000,0.0000,0.2552,0.0001,200,3.2320
0.2044,0.0000,0.0000,0.0000,0.2043,0.0001,200,3.4873
0.2048,0.0000,0.0000,0.0000,0.2047,0.0001,200,3.6918
0.2042,0.0000,0.0000,0.0000,0.2040,0.0001,200,3.8966
0.2053,0.0000,0.0000,0.0000,0.2051,0.0001,200,4.1008
0.2040,0.0000,0.0000,0.0001,0.2038,0.0001,200,4.3061
0.1919,0.0000,0.0000,0.0000,0.1917,0.0001,200,4.5102
0.2180,0.0000,0.0000,0.0000,0.2178,0.0001,200,4.7021
0.2122,0.0000,0.0000,0.0000,0.2121,0.0001,200,4.9201
0.1603,0.0000,0.0000,0.0000,0.1600,0.0002,200,5.1323
0.2419,0.0000,0.0000,0.0001,0.2416,0.0001,200,5.2926
0.2052,0.0000,0.0000,0.0000,0.2050,0.0001,200,5.5345
0.2044,0.0000,0.0000,0.0000,0.2042,0.0001,200,5.7397
0.1515,0.0000,0.0000,0.0000,0.1513,0.0001,200,5.9441
0.1504,0.0000,0.0000,0.0000,0.1501,0.0001,200,6.0956
0.1525,0.0000,0.0000,0.0001,0.1522,0.0001,200,6.2460
0.2632,0.0000,0.0000,0.0000,0.2630,0.0001,200,6.3985
0.3073,0.0000,0.0000,0.0000,0.3071,0.0001,200,6.6616
0.2045,0.0000,0.0000,0.0000,0.2043,0.0001,200,6.9689
0.2063,0.0000,0.0000,0.0000,0.2061,0.0001,200,7.1735
0.2027,0.0000,0.0000,0.0000,0.2025,0.0001,200,7.3798
0.2047,0.0000,0.0000,0.0000,0.2045,0.0001,200,7.5825
0.1785,0.0000,0.0000,0.0000,0.1783,0.0001,200,7.7871
0.1526,0.0000,0.0000,0.0000,0.1524,0.0001,200,7.9656
0.1826,0.0000,0.0000,0.0000,0.1824,0.0001,200,8.1182
0.2055,0.0000,0.0000,0.0000,0.2053,0.0001,200,8.3008
0.2042,0.0000,0.0000,0.0000,0.2040,0.0001,200,8.5063
0.3686,0.0000,0.0000,0.0001,0.3684,0.0001,200,8.7104
0.2457,0.0000,0.0000,0.0000,0.2455,0.0001,200,9.0791
0.2050,0.0000,0.0000,0.0001,0.2048,0.0001,200,9.3248
0.2050,0.0000,0.0000,0.0001,0.2048,0.0001,200,9.5298
0.1586,0.0000,0.0000,0.0001,0.1584,0.0001,200,9.7348
0.2505,0.0000,0.0000,0.0000,0.2502,0.0001,200,9.8934
0.2050,0.0000,0.0000,0.0000,0.2048,0.0001,200,10.1439
0.2046,0.0000,0.0000,0.0001,0.2044,0.0001,200,10.3489
0.2050,0.0000,0.0000,0.0000,0.2047,0.0001,200,10.5535
0.3080,0.0000,0.0000,0.0000,0.3078,0.0001,200,10.7585
0.2061,0.0000,0.0000,0.0000,0.2059,0.0001,200,11.0665
0.2030,0.0000,0.0000,0.0000,0.2028,0.0001,200,11.2726
0.1631,0.0000,0.0000,0.0000,0.1629,0.0002,200,11.4756
0.1511,0.0000,0.0000,0.0001,0.1509,0.0001,200,11.6387
0.1976,0.0000,0.0000,0.0000,0.1974,0.0001,200,11.7898
0.2053,0.0000,0.0000,0.0000,0.2051,0.0001,200,11.9874
0.2067,0.0000,0.0000,0.0000,0.2064,0.0001,200,12.1928
0.1772,0.0000,0.0000,0.0001,0.1769,0.0001,200,12.3995
0.2303,0.0000,0.0000,0.0000,0.2301,0.0001,200,12.5767
0.3067,0.0000,0.0000,0.0000,0.3065,0.0001,200,12.8070
0.1482,0.0000,0.0000,0.0000,0.1480,0.0001,200,13.1137
0.1777,0.0000,0.0000,0.0000,0.1775,0.0001,200,13.2618
0.1501,0.0000,0.0000,0.0000,0.1499,0.0001,200,13.4396
0.2413,0.0000,0.0000,0.0000,0.2411,0.0001,200,13.5897
0.2045,0.0000,0.0000,0.0000,0.2043,0.0001,200,13.8310
0.2044,0.0000,0.0000,0.0000,0.2043,0.0001,200,14.0355
0.1659,0.0000,0.0000,0.0001,0.1657,0.0001,200,14.2399
0.1448,0.0000,0.0000,0.0000,0.1446,0.0001,200,14.4058
0.2013,0.0000,0.0000,0.0000,0.2012,0.0001,200,14.5506
0.2048,0.0000,0.0000,0.0000,0.2046,0.0001,200,14.7520
0.2049,0.0000,0.0000,0.0001,0.2047,0.0001,200,14.9567
0.2074,0.0000,0.0000,0.0001,0.2071,0.0001,200,15.1617
0.1525,0.0000,0.0000,0.0000,0.1523,0.0001,200,15.3691
0.1541,0.0000,0.0000,0.0001,0.1538,0.0001,200,15.5216
0.1560,0.0000,0.0000,0.0000,0.1558,0.0001,200,15.6757
0.2558,0.0000,0.0000,0.0000,0.2556,0.0001,200,15.8317
0.2005,0.0000,0.0000,0.0000,0.2003,0.0001,200,16.0874
0.2048,0.0000,0.0000,0.0000,0.2046,0.0001,200,16.2879
0.3097,0.0000,0.0000,0.0000,0.3096,0.0001,200,16.4927
0.3049,0.0000,0.0000,0.0000,0.3047,0.0001,200,16.8024
0.2045,0.0000,0.0000,0.0000,0.2043,0.0001,200,17.1073
0.2061,0.0000,0.0000,0.0001,0.2059,0.0001,200,17.3118
0.2034,0.0000,0.0000,0.0000,0.2033,0.0001,200,17.5180
0.1696,0.0000,0.0000,0.0001,0.1694,0.0001,200,17.7214
0.1502,0.0000,0.0000,0.0000,0.1501,0.0001,200,17.8910
0.1928,0.0000,0.0000,0.0000,0.1926,0.0001,200,18.0413
0.2051,0.0000,0.0000,0.0000,0.2049,0.0001,200,18.2341
0.2041,0.0000,0.0000,0.0000,0.2039,0.0001,200,18.4392
0.2051,0.0000,0.0000,0.0000,0.2050,0.0001,200,18.6433
0.2051,0.0000,0.0000,0.0000,0.2049,0.0001,200,18.8484
0.2043,0.0000,0.0000,0.0000,0.2041,0.0001,200,19.0535
0.2055,0.0000,0.0000,0.0001,0.2052,0.0001,200,19.2578
0.2495,0.0000,0.0000,0.0000,0.2493,0.0001,200,19.4633
0.1544,0.0000,0.0000,0.0001,0.1541,0.0001,200,19.7128
0.2098,0.0000,0.0000,0.0000,0.2097,0.0001,200,19.8671
0.2048,0.0000,0.0000,0.0000,0.2045,0.0001,200,20.0770
0.2051,0.0000,0.0000,0.0001,0.2049,0.0001,200,20.2818
0.2083,0.0000,0.0000,0.0001,0.2081,0.0001,200,20.4869
