response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0917,0.0399,0.0000,0.0002,0.0514,0.0002,200,0.0002
0.0543,0.0000,0.0000,0.0000,0.0541,0.0001,200,0.0920
0.0512,0.0000,0.0000,0.0000,0.0509,0.0001,200,0.1463
0.0536,0.0000,0.0000,0.0000,0.0535,0.0001,200,0.1975
0.0490,0.0000,0.0000,0.0000,0.0489,0.0001,200,0.2511
0.0486,0.0000,0.0000,0.0000,0.0485,0.0001,200,0.3001
0.0492,0.0000,0.0000,0.0000,0.0490,0.0001,200,0.3487
0.0480,0.0000,0.0000,0.0000,0.0478,0.0001,200,0.3979
0.0481,0.0000,0.0000,0.0000,0.0479,0.0001,200,0.4458
0.0526,0.0000,0.0000,0.0000,0.0525,0.0000,200,0.4939
0.0491,0.0000,0.0000,0.0000,0.0490,0.0001,200,0.5465
0.0520,0.0000,0.0000,0.0000,0.0519,0.0001,200,0.5956
0.0488,0.0000,0.0000,0.0000,0.0487,0.0001,200,0.6476
0.0476,0.0000,0.0000,0.0001,0.0475,0.0001,200,0.6964
0.0493,0.0000,0.0000,0.0000,0.0492,0.0001,200,0.7441
0.0466,0.0000,0.0000,0.0000,0.0465,0.0001,200,0.7934
0.0493,0.0000,0.0000,0.0000,0.0491,0.0001,200,0.8401
0.0492,0.0000,0.0000,0.0001,0.0490,0.0001,200,0.8894
0.0479,0.0000,0.0000,0.0000,0.0477,0.0001,200,0.9385
0.0466,0.0000,0.0000,0.0000,0.0464,0.0001,200,0.9864
0.0477,0.0000,0.0000,0.0000,0.0475,0.0001,200,1.0330
0.0497,0.0000,0.0000,0.0000,0.0496,0.0001,200,1.0807
0.0511,0.0000,0.0000,0.0000,0.0509,0.0001,200,1.1305
0.0498,0.0000,0.0000,0.0000,0.0496,0.0001,200,1.1815
0.0468,0.0000,0.0000,0.0000,0.0466,0.0001,200,1.2313
0.0498,0.0000,0.0000,0.0000,0.0496,0.0001,200,1.2781
0.0477,0.0000,0.0000,0.0000,0.0476,0.0001,200,1.3279
0.0545,0.0000,0.0000,0.0000,0.0544,0.0001,200,1.3756
0.1025,0.0000,0.0000,0.0001,0.1024,0.0001,200,1.4301
0.0467,0.0000,0.0000,0.0000,0.0465,0.0001,200,1.5327
0.0493,0.0000,0.0000,0.0000,0.0491,0.0001,200,1.5794
0.0498,0.0000,0.0000,0.0000,0.0497,0.0001,200,1.6286
0.0490,0.0000,0.0000,0.0000,0.0488,0.0001,200,1.6785
0.0480,0.0000,0.0000,0.0000,0.0479,0.0001,200,1.7275
0.0484,0.0000,0.0000,0.0001,0.0481,0.0002,200,1.7755
0.0491,0.0000,0.0000,0.0001,0.0488,0.0002,200,1.8240
0.0507,0.0000,0.0000,0.0001,0.0504,0.0001,200,1.8731
0.0504,0.0000,0.0000,0.0000,0.0501,0.0002,200,1.9237
0.0490,0.0000,0.0000,0.0001,0.0486,0.0002,200,1.9741
0.0518,0.0000,0.0000,0.0001,0.0514,0.0002,200,2.0231
0.0521,0.0000,0.0000,0.0001,0.0518,0.0001,200,2.0749
0.0578,0.0000,0.0000,0.0001,0.0576,0.0001,200,2.1270
0.0508,0.0000,0.0000,0.0001,0.0505,0.0001,200,2.1848
0.0500,0.0000,0.0000,0.0001,0.0497,0.0001,200,2.2356
0.0501,0.0000,0.0000,0.0001,0.0498,0.0002,200,2.2856
0.0477,0.0000,0.0000,0.0001,0.0474,0.0002,200,2.3358
0.0537,0.0000,0.0000,0.0001,0.0534,0.0001,200,2.3835
0.2226,0.0000,0.0000,0.0001,0.2223,0.0001,200,2.4371
0.0505,0.0000,0.0000,0.0000,0.0502,0.0001,200,2.6598
0.0513,0.0000,0.0000,0.0000,0.0511,0.0001,200,2.7102
0.0478,0.0000,0.0000,0.0001,0.0475,0.0001,200,2.7616
