response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.2382,0.1276,0.0359,0.0003,0.1102,0.0001,200,0.1036
0.2251,0.1142,0.0707,0.0002,0.1105,0.0001,200,0.1175
0.2392,0.1277,0.0358,0.0003,0.1112,0.0001,200,0.1035
0.2393,0.1277,0.0358,0.0002,0.1113,0.0001,200,0.1034
0.2395,0.1277,0.0361,0.0002,0.1115,0.0001,200,0.1033
0.2380,0.1263,0.0349,0.0003,0.1114,0.0000,200,0.1048
0.2405,0.1266,0.0558,0.0004,0.1134,0.0000,200,0.1044
0.2403,0.1266,0.0560,0.0004,0.1132,0.0000,200,0.1046
0.2425,0.1277,0.0359,0.0002,0.1145,0.0001,200,0.1034
0.2423,0.1275,0.0360,0.0002,0.1145,0.0001,200,0.1036
0.2508,0.1275,0.0358,0.0003,0.1229,0.0001,200,0.1035
0.2481,0.1248,0.0546,0.0003,0.1229,0.0001,200,0.1063
0.2507,0.1274,0.0354,0.0003,0.1230,0.0000,200,0.1037
0.2510,0.1278,0.0357,0.0002,0.1229,0.0000,200,0.1034
0.2518,0.1278,0.0360,0.0001,0.1238,0.0000,200,0.1034
0.2520,0.1279,0.0357,0.0002,0.1238,0.0000,200,0.1032
0.2597,0.1273,0.0353,0.0003,0.1321,0.0000,200,0.1039
0.2574,0.1249,0.0544,0.0004,0.1321,0.0000,200,0.1062
0.2632,0.1300,0.0830,0.0001,0.1331,0.0000,200,0.1062
0.2635,0.1303,0.0339,0.0002,0.1329,0.0000,200,0.1060
0.2654,0.1270,0.0563,0.0002,0.1381,0.0000,200,0.1041
0.2659,0.1276,0.0357,0.0002,0.1379,0.0000,200,0.1036
0.2631,0.1298,0.0831,0.0001,0.1331,0.0000,200,0.1064
0.2655,0.1324,0.0357,0.0002,0.1328,0.0000,200,0.1040
0.2566,0.1188,0.0723,0.0001,0.1376,0.0000,200,0.1175
0.2718,0.1275,0.0355,0.0002,0.1440,0.0000,200,0.1036
0.2694,0.1251,0.0340,0.0003,0.1440,0.0000,200,0.1060
