response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.2042,0.0605,0.0000,0.0007,0.1430,0.0001,200,0.1758
0.2059,0.0615,0.0000,0.0007,0.1417,0.0019,200,0.1748
0.2057,0.0611,0.0000,0.0006,0.1440,0.0001,200,0.1754
0.2099,0.0606,0.0000,0.0008,0.1484,0.0001,200,0.1757
0.2154,0.0642,0.0000,0.0008,0.1503,0.0001,200,0.1718
0.2172,0.0638,0.0000,0.0001,0.1532,0.0001,200,0.1716
0.2126,0.0589,0.0000,0.0007,0.1529,0.0001,200,0.1767
0.2130,0.0595,0.0000,0.0005,0.1529,0.0001,200,0.1770
0.2345,0.0610,0.0000,0.0007,0.1727,0.0001,200,0.1754
0.2346,0.0607,0.0000,0.0005,0.1733,0.0001,200,0.1753
0.2337,0.0594,0.0000,0.0010,0.1733,0.0001,200,0.1765
0.2721,0.0632,0.0000,0.0001,0.0855,0.1234,200,0.1721
0.2989,0.0591,0.0000,0.0007,0.2390,0.0001,200,0.1765
0.3041,0.0991,0.0000,0.0001,0.2048,0.0001,200,0.1716
0.3027,0.0627,0.0000,0.0005,0.2394,0.0001,200,0.1733
0.3014,0.0614,0.0000,0.0007,0.2393,0.0001,200,0.1748
0.3046,0.0637,0.0000,0.0005,0.2404,0.0000,200,0.1723
0.3004,0.0596,0.0000,0.0006,0.2387,0.0015,200,0.1771
0.3032,0.0619,0.0000,0.0007,0.2405,0.0001,200,0.1744
0.3014,0.0591,0.0000,0.0003,0.2419,0.0001,200,0.1768
0.3048,0.0603,0.0000,0.0007,0.2437,0.0001,200,0.1760
0.3083,0.0631,0.0000,0.0006,0.2445,0.0001,200,0.1730
0.3079,0.0625,0.0000,0.0006,0.2447,0.0001,200,0.1739
0.3064,0.0601,0.0000,0.0006,0.2456,0.0001,200,0.1761
0.3101,0.0635,0.0000,0.0006,0.2458,0.0001,200,0.1726
0.3123,0.0633,0.0000,0.0006,0.2472,0.0011,200,0.1734
0.3180,0.0599,0.0000,0.0007,0.2571,0.0003,200,0.1763
0.3186,0.0919,0.0000,0.0001,0.2254,0.0011,200,0.1777
0.3253,0.0643,0.0000,0.0007,0.2593,0.0010,200,0.1720
0.3222,0.0937,0.0000,0.0001,0.2274,0.0009,200,0.1758
0.3255,0.0948,0.0000,0.0005,0.2293,0.0009,200,0.1735
0.3249,0.0596,0.0000,0.0004,0.2638,0.0010,200,0.1764
0.3284,0.0615,0.0000,0.0013,0.2645,0.0011,200,0.1746
0.3295,0.0928,0.0000,0.0004,0.2353,0.0010,200,0.1751
0.3316,0.0953,0.0000,0.0002,0.2350,0.0010,200,0.1731
0.3343,0.0624,0.0000,0.0009,0.2706,0.0003,200,0.1741
0.3388,0.0629,0.0000,0.0010,0.2744,0.0004,200,0.1737
0.3617,0.0619,0.0000,0.0002,0.2957,0.0039,200,0.1732
0.3637,0.0623,0.0000,0.0002,0.2951,0.0061,200,0.1728
0.3657,0.0648,0.0000,0.0006,0.2934,0.0069,200,0.1717
0.3626,0.0607,0.0000,0.0007,0.2935,0.0078,200,0.1756
0.3656,0.0632,0.0000,0.0006,0.3017,0.0000,200,0.1729
0.3641,0.0620,0.0000,0.0008,0.3012,0.0001,200,0.1744
0.3667,0.0642,0.0000,0.0008,0.3016,0.0001,200,0.1718
0.3631,0.0922,0.0000,0.0003,0.2705,0.0000,200,0.1756
0.3665,0.0636,0.0000,0.0007,0.3020,0.0001,200,0.1723
0.3654,0.0947,0.0000,0.0004,0.2697,0.0005,200,0.1735
0.3629,0.0911,0.0000,0.0007,0.2712,0.0000,200,0.1761
0.3669,0.0964,0.0000,0.0003,0.2694,0.0008,200,0.1723
0.3677,0.0975,0.0000,0.0002,0.2699,0.0000,200,0.1716
0.3290,0.0588,0.0000,0.0002,0.2699,0.0001,200,0.2103
0.3653,0.0941,0.0000,0.0003,0.2703,0.0007,200,0.1740
0.3636,0.0599,0.0000,0.0007,0.3029,0.0000,200,0.1759
0.3653,0.0623,0.0000,0.0009,0.3021,0.0001,200,0.1742
0.3633,0.0907,0.0000,0.0007,0.2718,0.0001,200,0.1763
0.3645,0.0613,0.0000,0.0006,0.3025,0.0001,200,0.1753
0.3639,0.0601,0.0000,0.0006,0.3017,0.0015,200,0.1759
0.3659,0.0624,0.0000,0.0007,0.3027,0.0001,200,0.1740
0.3291,0.0556,0.0000,0.0006,0.2728,0.0000,200,0.2110
0.3681,0.0642,0.0000,0.0007,0.3032,0.0000,200,0.1720
0.3692,0.0625,0.0000,0.0006,0.2947,0.0113,200,0.1727
0.3710,0.0634,0.0000,0.0003,0.2949,0.0124,200,0.1719
0.3674,0.0596,0.0000,0.0012,0.2933,0.0132,200,0.1766
0.3716,0.0620,0.0000,0.0006,0.2940,0.0149,200,0.1742
0.3690,0.0590,0.0000,0.0010,0.2941,0.0149,200,0.1769
0.3709,0.0616,0.0000,0.0006,0.2937,0.0150,200,0.1750
0.3707,0.0610,0.0000,0.0008,0.2455,0.0633,200,0.1754
0.3761,0.0619,0.0000,0.0005,0.2952,0.0185,200,0.1742
0.4055,0.0606,0.0000,0.0008,0.3440,0.0001,200,0.1758
0.4045,0.0598,0.0000,0.0007,0.3439,0.0002,200,0.1770
0.4097,0.0634,0.0000,0.0004,0.3457,0.0001,200,0.1724
0.4085,0.0628,0.0000,0.0008,0.3447,0.0001,200,0.1738
0.4098,0.0634,0.0000,0.0007,0.3456,0.0001,200,0.1726
0.4097,0.0630,0.0000,0.0006,0.3460,0.0000,200,0.1731
0.4058,0.0926,0.0000,0.0001,0.3129,0.0001,200,0.1773
0.5963,0.1270,0.0000,0.1063,0.3628,0.0001,200,0.1049
0.5269,0.0933,0.0000,0.0004,0.4331,0.0001,200,0.1747
0.5247,0.0587,0.0000,0.0007,0.4653,0.0001,200,0.1769
0.5298,0.0957,0.0000,0.0003,0.4332,0.0006,200,0.1728
0.4926,0.0559,0.0000,0.0005,0.4362,0.0001,200,0.2105
0.4912,0.0885,0.0000,0.0213,0.3813,0.0001,200,0.2121
0.5975,0.2194,0.0000,0.0001,0.3779,0.0001,200,0.1063
0.5761,0.1048,0.0000,0.1670,0.3041,0.0001,200,0.1280
0.5302,0.0620,0.0000,0.0008,0.4672,0.0001,200,0.1744
0.5990,0.1601,0.0000,0.0006,0.4381,0.0001,200,0.1063
0.5307,0.0610,0.0000,0.0005,0.4691,0.0001,200,0.1749
0.4951,0.0958,0.0000,0.0051,0.3941,0.0001,200,0.2116
0.5333,0.0627,0.0000,0.0009,0.4695,0.0001,200,0.1737
0.5327,0.0617,0.0000,0.0005,0.4703,0.0001,200,0.1745
0.5350,0.0638,0.0000,0.0007,0.4704,0.0001,200,0.1725
0.4962,0.0972,0.0000,0.0136,0.3853,0.0001,200,0.2116
0.5558,0.0794,0.0000,0.1062,0.3701,0.0001,200,0.1524
0.5356,0.0632,0.0000,0.0004,0.4719,0.0001,200,0.1727
0.4984,0.0563,0.0000,0.0006,0.4414,0.0001,200,0.2103
0.4977,0.0552,0.0000,0.0007,0.4417,0.0001,200,0.2112
0.5338,0.0609,0.0000,0.0011,0.4718,0.0001,200,0.1752
0.4983,0.0556,0.0000,0.0009,0.4417,0.0001,200,0.2113
0.5702,0.0795,0.0000,0.1672,0.3234,0.0001,200,0.1534
0.5134,0.0560,0.0000,0.0005,0.4567,0.0001,200,0.2103
0.5482,0.0914,0.0000,0.0006,0.4559,0.0001,200,0.1760
0.5490,0.0605,0.0000,0.0005,0.4879,0.0001,200,0.1754
0.5027,0.1098,0.0000,0.0023,0.3468,0.0001,200,0.2250
0.5174,0.0562,0.0000,0.0008,0.4603,0.0001,200,0.2106
0.5517,0.0594,0.0000,0.0011,0.4910,0.0001,200,0.1767
