response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.4740,0.0410,0.0000,0.0004,1.4321,0.0002,200,0.1010
0.6136,0.0000,0.0000,0.0001,0.6134,0.0001,200,1.5751
0.5251,0.0000,0.0000,0.0000,0.5249,0.0002,200,2.1887
0.6021,0.0000,0.0000,0.0001,0.6018,0.0002,200,2.7138
0.4095,0.0000,0.0000,0.0001,0.4092,0.0002,200,3.3159
0.4591,0.0000,0.0000,0.0001,0.4587,0.0003,200,3.7253
0.3604,0.0000,0.0000,0.0001,0.3600,0.0002,200,4.1845
0.4091,0.0000,0.0000,0.0003,0.4085,0.0002,200,4.5449
0.6145,0.0000,0.0000,0.0001,0.6142,0.0002,200,4.9540
0.8195,0.0000,0.0000,0.0001,0.8190,0.0002,200,5.5686
0.4094,0.0000,0.0000,0.0001,0.4091,0.0001,200,6.3880
0.4097,0.0000,0.0000,0.0001,0.4094,0.0001,200,6.7974
0.2823,0.0000,0.0000,0.0001,0.2820,0.0001,200,7.2071
0.7410,0.0000,0.0000,0.0001,0.7407,0.0002,200,7.4894
0.6743,0.0000,0.0000,0.0001,0.6740,0.0001,200,8.2305
0.6576,0.0000,0.0000,0.0001,0.6574,0.0001,200,8.9048
0.6141,0.0000,0.0000,0.0001,0.6138,0.0001,200,9.5624
0.4091,0.0000,0.0000,0.0002,0.4087,0.0002,200,10.1765
0.6147,0.0000,0.0000,0.0001,0.6144,0.0001,200,10.5856
0.6148,0.0000,0.0000,0.0001,0.6146,0.0001,200,11.2003
0.4974,0.0000,0.0000,0.0001,0.4972,0.0001,200,11.8151
0.4262,0.0000,0.0000,0.0000,0.4259,0.0002,200,12.3126
0.4946,0.0000,0.0000,0.0002,0.4942,0.0002,200,12.7387
0.5273,0.0000,0.0000,0.0001,0.5270,0.0002,200,13.2334
0.4096,0.0000,0.0000,0.0001,0.4093,0.0001,200,13.7607
0.3805,0.0000,0.0000,0.0001,0.3801,0.0001,200,14.1703
0.3441,0.0000,0.0000,0.0001,0.3438,0.0001,200,14.5508
0.6083,0.0000,0.0000,0.0001,0.6080,0.0001,200,14.8949
0.8176,0.0000,0.0000,0.0001,0.8173,0.0001,200,15.5032
0.6144,0.0000,0.0000,0.0001,0.6142,0.0001,200,16.3207
0.6171,0.0000,0.0000,0.0001,0.6168,0.0002,200,16.9352
0.6118,0.0000,0.0000,0.0001,0.6115,0.0002,200,17.5523
0.8196,0.0000,0.0000,0.0001,0.8192,0.0002,200,18.1641
0.4102,0.0000,0.0000,0.0001,0.4098,0.0003,200,18.9837
0.3124,0.0000,0.0000,0.0001,0.3121,0.0001,200,19.3939
0.4032,0.0000,0.0000,0.0001,0.4029,0.0001,200,19.7064
0.4099,0.0000,0.0000,0.0001,0.4095,0.0002,200,20.1096
0.4082,0.0000,0.0000,0.0001,0.4079,0.0001,200,20.5194
0.5976,0.0000,0.0000,0.0000,0.5973,0.0002,200,20.9276
0.4267,0.0000,0.0000,0.0001,0.4265,0.0001,200,21.5252
0.3497,0.0000,0.0000,0.0001,0.3494,0.0001,200,21.9519
0.6327,0.0000,0.0000,0.0001,0.6324,0.0002,200,22.3016
0.6563,0.0000,0.0000,0.0001,0.6561,0.0001,200,22.9344
0.9106,0.0000,0.0000,0.0001,0.9104,0.0001,200,23.5907
0.7970,0.0000,0.0000,0.0001,0.7967,0.0001,200,24.5013
0.4434,0.0000,0.0000,0.0001,0.4431,0.0001,200,25.2983
0.4095,0.0000,0.0000,0.0001,0.4092,0.0001,200,25.7417
0.6147,0.0000,0.0000,0.0002,0.6144,0.0001,200,26.1512
0.4094,0.0000,0.0000,0.0001,0.4091,0.0002,200,26.7659
0.4092,0.0000,0.0000,0.0001,0.4090,0.0001,200,27.1753
0.4095,0.0000,0.0000,0.0001,0.4092,0.0001,200,27.5845
0.2991,0.0000,0.0000,0.0001,0.2988,0.0001,200,27.9940
0.4180,0.0000,0.0000,0.0001,0.4177,0.0001,200,28.2931
0.6142,0.0000,0.0000,0.0001,0.6139,0.0002,200,28.7111
0.4099,0.0000,0.0000,0.0001,0.4096,0.0001,200,29.3254
0.4102,0.0000,0.0000,0.0001,0.4099,0.0001,200,29.7353
0.8176,0.0000,0.0000,0.0001,0.8173,0.0001,200,30.1455
0.8235,0.0000,0.0000,0.0001,0.8233,0.0001,200,30.9631
0.7135,0.0000,0.0000,0.0001,0.7131,0.0002,200,31.7866
0.6143,0.0000,0.0000,0.0001,0.6141,0.0001,200,32.5001
0.4094,0.0000,0.0000,0.0001,0.4092,0.0001,200,33.1145
0.4094,0.0000,0.0000,0.0001,0.4090,0.0003,200,33.5239
0.5596,0.0000,0.0000,0.0001,0.5592,0.0001,200,33.9333
0.4566,0.0000,0.0000,0.0001,0.4563,0.0002,200,34.4929
0.3631,0.0000,0.0000,0.0001,0.3628,0.0001,200,34.9495
0.4641,0.0000,0.0000,0.0001,0.4638,0.0001,200,35.3125
0.4093,0.0000,0.0000,0.0001,0.4090,0.0001,200,35.7766
0.3185,0.0000,0.0000,0.0001,0.3181,0.0002,200,36.1859
0.7944,0.0000,0.0000,0.0001,0.7941,0.0002,200,36.5044
0.5951,0.0000,0.0000,0.0001,0.5948,0.0002,200,37.2988
0.5977,0.0000,0.0000,0.0001,0.5974,0.0001,200,37.8939
0.8692,0.0000,0.0000,0.0001,0.8689,0.0001,200,38.4916
0.6136,0.0000,0.0000,0.0001,0.6133,0.0001,200,39.3609
0.6152,0.0000,0.0000,0.0001,0.6149,0.0001,200,39.9744
0.4100,0.0000,0.0000,0.0001,0.4097,0.0001,200,40.5896
0.3070,0.0000,0.0000,0.0001,0.3067,0.0002,200,40.9996
0.6158,0.0000,0.0000,0.0001,0.6154,0.0003,200,41.3067
0.3807,0.0000,0.0000,0.0001,0.3805,0.0001,200,41.9224
0.4370,0.0000,0.0000,0.0001,0.4365,0.0002,200,42.3032
0.6143,0.0000,0.0000,0.0001,0.6139,0.0002,200,42.7402
0.6139,0.0000,0.0000,0.0001,0.6136,0.0002,200,43.3545
0.5326,0.0000,0.0000,0.0001,0.5323,0.0002,200,43.9684
0.3972,0.0000,0.0000,0.0001,0.3967,0.0004,200,44.5011
0.3913,0.0000,0.0000,0.0001,0.3910,0.0001,200,44.8983
0.6760,0.0000,0.0000,0.0001,0.6757,0.0001,200,45.2896
0.5387,0.0000,0.0000,0.0001,0.5385,0.0001,200,45.9656
0.8430,0.0000,0.0000,0.0001,0.8427,0.0001,200,46.5044
0.6304,0.0000,0.0000,0.0001,0.6301,0.0002,200,47.3474
0.3510,0.0000,0.0000,0.0001,0.3507,0.0001,200,47.9778
0.4019,0.0000,0.0000,0.0000,0.4017,0.0001,200,48.3288
0.5942,0.0000,0.0000,0.0001,0.5939,0.0001,200,48.7307
0.8902,0.0000,0.0000,0.0001,0.8899,0.0001,200,49.3249
