response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0916,0.0455,0.0086,0.0001,0.0455,0.0001,200,0.1008
0.0962,0.0487,0.0088,0.0000,0.0471,0.0002,200,0.1008
0.0985,0.0485,0.0088,0.0001,0.0497,0.0001,200,0.1007
0.0995,0.0453,0.0085,0.0002,0.0538,0.0001,200,0.1010
0.0999,0.0486,0.0087,0.0000,0.0509,0.0000,200,0.1006
0.0471,0.0000,0.0000,0.0000,0.0469,0.0001,200,0.2006
0.0473,0.0000,0.0000,0.0000,0.0471,0.0001,200,0.2006
0.0493,0.0000,0.0000,0.0000,0.0491,0.0001,200,0.2006
0.0500,0.0000,0.0000,0.0000,0.0499,0.0000,200,0.2006
0.0604,0.0000,0.0000,0.0001,0.0602,0.0001,200,0.2008
0.0446,0.0000,0.0000,0.0000,0.0445,0.0001,200,0.3006
0.0447,0.0000,0.0000,0.0000,0.0445,0.0001,200,0.3006
0.0482,0.0000,0.0000,0.0001,0.0480,0.0001,200,0.3005
0.0482,0.0000,0.0000,0.0000,0.0481,0.0001,200,0.3006
0.0524,0.0000,0.0000,0.0001,0.0521,0.0001,200,0.3007
0.0465,0.0000,0.0000,0.0000,0.0464,0.0001,200,0.4005
0.0489,0.0000,0.0000,0.0000,0.0488,0.0001,200,0.4006
0.0490,0.0000,0.0000,0.0000,0.0489,0.0000,200,0.4006
0.0548,0.0000,0.0000,0.0000,0.0546,0.0001,200,0.4007
0.0550,0.0000,0.0000,0.0000,0.0549,0.0000,200,0.4006
0.0424,0.0000,0.0000,0.0000,0.0422,0.0001,200,0.5008
0.0425,0.0000,0.0000,0.0000,0.0424,0.0001,200,0.5008
0.0488,0.0000,0.0000,0.0000,0.0486,0.0001,200,0.5009
0.0555,0.0000,0.0000,0.0001,0.0552,0.0001,200,0.5008
0.0575,0.0000,0.0000,0.0000,0.0573,0.0001,200,0.5008
0.0456,0.0000,0.0000,0.0000,0.0455,0.0001,200,0.6008
0.0457,0.0000,0.0000,0.0001,0.0455,0.0001,200,0.6008
0.0478,0.0000,0.0000,0.0000,0.0476,0.0002,200,0.6008
0.0549,0.0000,0.0000,0.0000,0.0548,0.0001,200,0.6008
0.0594,0.0000,0.0000,0.0001,0.0592,0.0001,200,0.6007
0.0434,0.0000,0.0000,0.0001,0.0432,0.0001,200,0.7005
0.0488,0.0000,0.0000,0.0000,0.0485,0.0001,200,0.7006
0.0488,0.0000,0.0000,0.0000,0.0487,0.0001,200,0.7005
0.0488,0.0000,0.0000,0.0000,0.0487,0.0001,200,0.7005
0.0570,0.0000,0.0000,0.0001,0.0568,0.0001,200,0.7006
0.0499,0.0000,0.0000,0.0000,0.0497,0.0001,200,0.8009
0.0501,0.0000,0.0000,0.0000,0.0499,0.0001,200,0.8008
0.0584,0.0000,0.0000,0.0000,0.0582,0.0001,200,0.8007
0.0584,0.0000,0.0000,0.0000,0.0582,0.0001,200,0.8007
0.0607,0.0000,0.0000,0.0000,0.0605,0.0001,200,0.8008
0.0529,0.0000,0.0000,0.0000,0.0527,0.0001,200,0.9007
0.0529,0.0000,0.0000,0.0000,0.0527,0.0001,200,0.9007
0.0529,0.0000,0.0000,0.0002,0.0526,0.0001,200,0.9007
0.0529,0.0000,0.0000,0.0000,0.0527,0.0001,200,0.9007
0.0531,0.0000,0.0000,0.0000,0.0530,0.0001,200,0.9007
0.0555,0.0000,0.0000,0.0000,0.0554,0.0001,200,1.0008
0.0580,0.0000,0.0000,0.0000,0.0579,0.0001,200,1.0008
0.0581,0.0000,0.0000,0.0000,0.0579,0.0001,200,1.0008
0.0582,0.0000,0.0000,0.0001,0.0579,0.0001,200,1.0007
0.0615,0.0000,0.0000,0.0000,0.0614,0.0001,200,1.0008
0.0451,0.0000,0.0000,0.0000,0.0450,0.0001,200,1.1007
0.0474,0.0000,0.0000,0.0000,0.0471,0.0001,200,1.1006
0.0600,0.0000,0.0000,0.0001,0.0598,0.0001,200,1.1006
0.0861,0.0000,0.0000,0.0000,0.0859,0.0001,200,1.1007
0.0875,0.0000,0.0000,0.0000,0.0874,0.0001,200,1.1006
0.0505,0.0000,0.0000,0.0000,0.0503,0.0001,200,1.2006
0.0525,0.0000,0.0000,0.0000,0.0523,0.0001,200,1.2005
0.0601,0.0000,0.0000,0.0000,0.0599,0.0001,200,1.2006
0.0602,0.0000,0.0000,0.0000,0.0600,0.0001,200,1.2005
0.0642,0.0000,0.0000,0.0000,0.0639,0.0001,200,1.2006
0.0448,0.0000,0.0000,0.0000,0.0447,0.0001,200,1.3007
0.0470,0.0000,0.0000,0.0000,0.0469,0.0001,200,1.3006
0.0472,0.0000,0.0000,0.0000,0.0470,0.0000,200,1.3005
0.0526,0.0000,0.0000,0.0000,0.0525,0.0001,200,1.3006
