response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1022,0.0411,0.0000,0.0004,0.0598,0.0002,200,0.1017
0.1025,0.0417,0.0000,0.0003,0.0602,0.0002,200,0.1017
0.1023,0.0415,0.0000,0.0003,0.0602,0.0002,200,0.1018
0.1029,0.0417,0.0000,0.0004,0.0603,0.0001,200,0.1014
0.1059,0.0418,0.0000,0.0003,0.0636,0.0002,200,0.1017
0.1110,0.0423,0.0000,0.0001,0.0681,0.0001,200,0.1013
0.1113,0.0417,0.0000,0.0002,0.0684,0.0001,200,0.1010
0.1136,0.0426,0.0000,0.0001,0.0705,0.0001,200,0.1012
0.1327,0.0423,0.0000,0.0003,0.0900,0.0001,200,0.1011
0.1332,0.0428,0.0000,0.0001,0.0899,0.0001,200,0.1010
0.0481,0.0000,0.0000,0.0000,0.0479,0.0001,200,0.2042
0.0521,0.0000,0.0000,0.0000,0.0519,0.0001,200,0.2042
0.0456,0.0000,0.0000,0.0001,0.0453,0.0001,200,0.2148
0.0606,0.0000,0.0000,0.0001,0.0604,0.0001,200,0.2076
0.0601,0.0000,0.0000,0.0001,0.0598,0.0002,200,0.2123
0.0683,0.0000,0.0000,0.0001,0.0680,0.0001,200,0.2041
0.0727,0.0000,0.0000,0.0001,0.0725,0.0001,200,0.2039
0.0666,0.0000,0.0000,0.0000,0.0664,0.0002,200,0.2123
0.0490,0.0000,0.0000,0.0000,0.0488,0.0001,200,0.2341
0.0492,0.0000,0.0000,0.0001,0.0490,0.0001,200,0.2339
0.0492,0.0000,0.0000,0.0001,0.0490,0.0001,200,0.3011
0.0492,0.0000,0.0000,0.0001,0.0489,0.0002,200,0.3013
0.0527,0.0000,0.0000,0.0001,0.0525,0.0001,200,0.3010
0.0538,0.0000,0.0000,0.0000,0.0536,0.0001,200,0.3013
0.0560,0.0000,0.0000,0.0001,0.0557,0.0001,200,0.3010
0.0589,0.0000,0.0000,0.0001,0.0586,0.0001,200,0.3009
0.0588,0.0000,0.0000,0.0002,0.0585,0.0001,200,0.3012
0.0682,0.0000,0.0000,0.0001,0.0680,0.0000,200,0.3012
0.0681,0.0000,0.0000,0.0000,0.0680,0.0001,200,0.3013
0.0779,0.0000,0.0000,0.0001,0.0777,0.0001,200,0.3014
0.0603,0.0000,0.0000,0.0001,0.0599,0.0002,200,0.4009
0.0632,0.0000,0.0000,0.0000,0.0630,0.0001,200,0.4010
0.0630,0.0000,0.0000,0.0000,0.0629,0.0001,200,0.4011
0.0641,0.0000,0.0000,0.0000,0.0639,0.0001,200,0.4010
0.0775,0.0000,0.0000,0.0000,0.0773,0.0001,200,0.4012
0.0776,0.0000,0.0000,0.0000,0.0773,0.0002,200,0.4011
0.0827,0.0000,0.0000,0.0000,0.0825,0.0002,200,0.4011
0.0828,0.0000,0.0000,0.0000,0.0826,0.0001,200,0.4010
0.0830,0.0000,0.0000,0.0000,0.0828,0.0001,200,0.4010
0.0830,0.0000,0.0000,0.0001,0.0828,0.0001,200,0.4009
0.0524,0.0000,0.0000,0.0001,0.0521,0.0001,200,0.5012
0.0590,0.0000,0.0000,0.0001,0.0586,0.0002,200,0.5010
0.0641,0.0000,0.0000,0.0000,0.0639,0.0001,200,0.5013
0.0666,0.0000,0.0000,0.0000,0.0664,0.0001,200,0.5013
0.0782,0.0000,0.0000,0.0001,0.0779,0.0001,200,0.5010
0.0780,0.0000,0.0000,0.0000,0.0778,0.0001,200,0.5013
0.0878,0.0000,0.0000,0.0001,0.0875,0.0002,200,0.5011
0.0880,0.0000,0.0000,0.0001,0.0877,0.0001,200,0.5009
0.0888,0.0000,0.0000,0.0001,0.0885,0.0001,200,0.5011
0.0905,0.0000,0.0000,0.0001,0.0902,0.0001,200,0.5012
0.0520,0.0000,0.0000,0.0000,0.0518,0.0001,200,0.6010
0.0599,0.0000,0.0000,0.0000,0.0597,0.0001,200,0.6010
0.0618,0.0000,0.0000,0.0000,0.0616,0.0002,200,0.6009
0.0626,0.0000,0.0000,0.0000,0.0624,0.0002,200,0.6009
0.0672,0.0000,0.0000,0.0000,0.0670,0.0001,200,0.6010
0.0684,0.0000,0.0000,0.0000,0.0682,0.0001,200,0.6010
0.0698,0.0000,0.0000,0.0000,0.0696,0.0001,200,0.6009
0.0780,0.0000,0.0000,0.0000,0.0778,0.0002,200,0.6010
0.0781,0.0000,0.0000,0.0000,0.0779,0.0001,200,0.6009
0.0781,0.0000,0.0000,0.0000,0.0779,0.0001,200,0.6010
0.0539,0.0000,0.0000,0.0001,0.0535,0.0002,200,0.7011
0.0564,0.0000,0.0000,0.0001,0.0562,0.0001,200,0.7010
0.0577,0.0000,0.0000,0.0001,0.0573,0.0001,200,0.7012
0.0580,0.0000,0.0000,0.0001,0.0578,0.0001,200,0.7010
0.0596,0.0000,0.0000,0.0001,0.0593,0.0001,200,0.7012
0.0603,0.0000,0.0000,0.0001,0.0600,0.0001,200,0.7012
0.0647,0.0000,0.0000,0.0001,0.0645,0.0001,200,0.7011
0.0723,0.0000,0.0000,0.0001,0.0720,0.0001,200,0.7011
0.0778,0.0000,0.0000,0.0000,0.0773,0.0001,200,0.7010
0.0813,0.0000,0.0000,0.0001,0.0809,0.0002,200,0.7010
0.0492,0.0000,0.0000,0.0000,0.0490,0.0002,200,0.8013
0.0527,0.0000,0.0000,0.0001,0.0523,0.0002,200,0.8010
0.0536,0.0000,0.0000,0.0001,0.0534,0.0001,200,0.8011
0.0590,0.0000,0.0000,0.0000,0.0588,0.0001,200,0.8013
0.0600,0.0000,0.0000,0.0001,0.0597,0.0001,200,0.8010
0.0608,0.0000,0.0000,0.0002,0.0604,0.0000,200,0.8010
0.0606,0.0000,0.0000,0.0001,0.0603,0.0000,200,0.8011
0.0607,0.0000,0.0000,0.0000,0.0605,0.0000,200,0.8011
0.0640,0.0000,0.0000,0.0000,0.0638,0.0000,200,0.8013
0.0654,0.0000,0.0000,0.0001,0.0652,0.0000,200,0.8010
0.0523,0.0000,0.0000,0.0000,0.0520,0.0001,200,0.9009
0.0563,0.0000,0.0000,0.0000,0.0561,0.0001,200,0.9010
0.0567,0.0000,0.0000,0.0000,0.0565,0.0001,200,0.9010
0.0570,0.0000,0.0000,0.0000,0.0568,0.0001,200,0.9009
0.0592,0.0000,0.0000,0.0000,0.0590,0.0001,200,0.9011
0.0639,0.0000,0.0000,0.0000,0.0637,0.0001,200,0.9010
0.0673,0.0000,0.0000,0.0000,0.0671,0.0001,200,0.9011
